,Wavenumber,C1682
0,1200,0.004048712
1,1198,0.005209121
2,1196,0.006039274
3,1194,0.00655674
4,1192,0.006877681
5,1190,0.0071648630000000005
6,1188,0.0075355330000000005
7,1186,0.008047405
8,1184,0.008446104
9,1182,0.008383507
10,1180,0.007435346
11,1178,0.005474395999999999
12,1176,0.0027914959999999996
13,1174,8.6725e-05
14,1172,-0.0019663989999999998
15,1170,-0.0030283759999999997
16,1168,-0.0032473059999999997
17,1166,-0.002932179
18,1164,-0.002498098
19,1162,-0.0021762120000000003
20,1160,-0.0019849620000000003
21,1158,-0.001857456
22,1156,-0.001820333
23,1154,-0.001847696
24,1152,-0.0017515360000000002
25,1150,-0.001246928
26,1148,-0.000208565
27,1146,0.001234873
28,1144,0.0026973979999999997
29,1142,0.003774987
30,1140,0.004192934000000001
31,1138,0.003886019
32,1136,0.0029739090000000003
33,1134,0.001716394
34,1132,0.00047352900000000004
35,1130,-0.000438252
36,1128,-0.00093048
37,1126,-0.001115321
38,1124,-0.001121171
39,1122,-0.0010259660000000001
40,1120,-0.000750657
41,1118,-6.844e-05
42,1116,0.001185919
43,1114,0.002788985
44,1112,0.004232573
45,1110,0.004988727
46,1108,0.004889705
47,1106,0.004098035
48,1104,0.0031058329999999997
49,1102,0.002512394
50,1100,0.0028200020000000003
51,1098,0.00392906
52,1096,0.0051583409999999994
53,1094,0.005485141
54,1092,0.0043089420000000005
55,1090,0.00154095
56,1088,-0.002207296
57,1086,-0.006007473
58,1084,-0.008828042
59,1082,-0.010222436
60,1080,-0.010256177
61,1078,-0.009444221
62,1076,-0.008127203000000001
63,1074,-0.006739126
64,1072,-0.005510131
65,1070,-0.004664855999999999
66,1068,-0.004218014
67,1066,-0.004268626
68,1064,-0.0046747329999999995
69,1062,-0.005306796999999999
70,1060,-0.005789661999999999
71,1058,-0.005925741
72,1056,-0.005320524
73,1054,-0.0038748240000000002
74,1052,-0.001853001
75,1050,2.9100000000000003e-05
76,1048,0.0013015999999999998
77,1046,0.001709467
78,1044,0.0014480720000000001
79,1042,0.0008720310000000001
80,1040,0.00045985199999999996
81,1038,6.8327e-05
82,1036,-0.000648763
83,1034,-0.002030539
84,1032,-0.004025645
85,1030,-0.006379728
86,1028,-0.008561993
87,1026,-0.010076849
88,1024,-0.010590653
89,1022,-0.010146437
90,1020,-0.008703139
91,1018,-0.006303146999999999
92,1016,-0.003137221
93,1014,0.00043191599999999996
94,1012,0.0039690129999999995
95,1010,0.006935154000000001
96,1008,0.008897565999999999
97,1006,0.009611363000000001
98,1004,0.009058782
99,1002,0.007454326
100,1000,0.00528496
101,998,0.003212735
102,996,0.001848038
103,994,0.001603235
104,992,0.002545893
105,990,0.004366004000000001
106,988,0.006339521
107,986,0.007654615
108,984,0.007693074
109,982,0.006327866999999999
110,980,0.003916736
111,978,0.001107976
112,976,-0.001541606
113,974,-0.003684629
114,972,-0.005186253
115,970,-0.0060144859999999994
116,968,-0.006223734
117,966,-0.005779959
118,964,-0.004723407
119,962,-0.003152281
120,960,-0.0012822019999999999
121,958,0.000643761
122,956,0.0023865839999999998
123,954,0.0037996320000000003
124,952,0.004742387
125,950,0.005202081
126,948,0.005225003
127,946,0.0049817540000000006
128,944,0.004534825
129,942,0.0038962370000000003
130,940,0.003041028
131,938,0.00210646
132,936,0.00128452
133,934,0.000900793
134,932,0.001146524
135,930,0.001945417
136,928,0.002796735
137,926,0.003068243
138,924,0.002214738
139,922,0.000174672
140,920,-0.002610043
141,918,-0.005265705
142,916,-0.006922539
143,914,-0.006996655
144,912,-0.0055002490000000005
145,910,-0.002907683
146,908,-2.9283e-05
147,906,0.002391504
148,904,0.003854749
149,902,0.00432486
150,900,0.004081363
