,Wavenumber,10D79
0,1200,0.0058091869999999995
1,1198,0.006563940999999999
2,1196,0.006899876
3,1194,0.006900341999999999
4,1192,0.006776307
5,1190,0.0067258230000000006
6,1188,0.0067770930000000005
7,1186,0.006821687
8,1184,0.006625433000000001
9,1182,0.005873127
10,1180,0.004300752
11,1178,0.002068838
12,1176,-0.000183735
13,1174,-0.001652522
14,1172,-0.001858804
15,1170,-0.0008999110000000001
16,1168,0.000571735
17,1166,0.0016187629999999998
18,1164,0.0015065410000000001
19,1162,0.000121816
20,1160,-0.001963471
21,1158,-0.003921882
22,1156,-0.005056229000000001
23,1154,-0.0050454459999999994
24,1152,-0.003904796
25,1150,-0.002031718
26,1148,5.5436e-05
27,1146,0.001898471
28,1144,0.003344528
29,1142,0.004366116
30,1140,0.00502573
31,1138,0.005232312
32,1136,0.004843768
33,1134,0.003666977
34,1132,0.0018555879999999998
35,1130,-0.000197597
36,1128,-0.001877785
37,1126,-0.002756748
38,1124,-0.002545628
39,1122,-0.001353802
40,1120,0.000616153
41,1118,0.0029041970000000003
42,1116,0.005062733
43,1114,0.006452785999999999
44,1112,0.006686355
45,1110,0.005507724
46,1108,0.003282638
47,1106,0.00056174
48,1104,-0.001747151
49,1102,-0.002925323
50,1100,-0.00236171
51,1098,-0.000198204
52,1096,0.003027754
53,1094,0.005986334
54,1092,0.007607826999999999
55,1090,0.006896143
56,1088,0.003650932
57,1086,-0.001773679
58,1084,-0.008023185
59,1082,-0.013901136000000001
60,1080,-0.018195196
61,1078,-0.020573285
62,1076,-0.020662158
63,1074,-0.018629252
64,1072,-0.014587491000000001
65,1070,-0.009333516
66,1068,-0.00375877
67,1066,0.0007343489999999999
68,1064,0.003579668
69,1062,0.004649187
70,1060,0.004818819
71,1058,0.004876094
72,1056,0.005638936
73,1054,0.006806265
74,1052,0.007885803
75,1050,0.008203766
76,1048,0.007940564
77,1046,0.0072443659999999995
78,1044,0.00633302
79,1042,0.004625755
80,1040,0.001518606
81,1038,-0.0038104109999999997
82,1036,-0.010972077
83,1034,-0.018706036000000002
84,1032,-0.024682894
85,1030,-0.027059178
86,1028,-0.024722551000000002
87,1026,-0.018345366000000002
88,1024,-0.009774085
89,1022,-0.0017251620000000001
90,1020,0.003922947
91,1018,0.006261814
92,1016,0.0058815230000000005
93,1014,0.004108665
94,1012,0.002676548
95,1010,0.002391246
96,1008,0.00322806
97,1006,0.0043425059999999994
98,1004,0.004857516
99,1002,0.004133813
100,1000,0.002401684
101,998,0.000446524
102,996,-0.000704315
103,994,-0.00043119
104,992,0.001487999
105,990,0.004548769
106,988,0.00769334
107,986,0.009657759
108,984,0.009625996
109,982,0.007472605
110,980,0.003982647
111,978,0.000364491
112,976,-0.002346773
113,974,-0.0038067979999999997
114,972,-0.004291474
115,970,-0.004354934
116,968,-0.0043442540000000005
117,966,-0.004243968
118,964,-0.003693476
119,962,-0.002355157
120,960,-0.000235395
121,958,0.0022561960000000002
122,956,0.004568933
123,954,0.00623014
124,952,0.006999034
125,950,0.006947219
126,948,0.0063432919999999995
127,946,0.005481139
128,944,0.004483525
129,942,0.0033655070000000002
130,940,0.0021578079999999998
131,938,0.001028024
132,936,0.000308073
133,934,0.000428545
134,932,0.001530175
135,930,0.003249239
136,928,0.0047362509999999995
137,926,0.0050374190000000004
138,924,0.0035305759999999997
139,922,0.000299249
140,920,-0.0038366859999999997
141,918,-0.007547002
142,916,-0.00954808
143,914,-0.009097921
144,912,-0.0063501519999999995
145,910,-0.002195552
146,908,0.002111458
147,906,0.005437834
148,904,0.007089023000000001
149,902,0.00699876
150,900,0.0056327669999999995
