,Wavenumber,HCC23
0,1200,0.0040704040000000006
1,1198,0.004992664
2,1196,0.006074335
3,1194,0.00737372
4,1192,0.00883354
5,1190,0.010131807
6,1188,0.010746728999999998
7,1186,0.010204084
8,1184,0.008278556999999999
9,1182,0.005128499
10,1180,0.001302432
11,1178,-0.002376843
12,1176,-0.0049847120000000005
13,1174,-0.005808585
14,1172,-0.004721549
15,1170,-0.00226783
16,1168,0.000542911
17,1166,0.002561796
18,1164,0.002976225
19,1162,0.0016130510000000001
20,1160,-0.000915566
21,1158,-0.003646518
22,1156,-0.005617385999999999
23,1154,-0.006150187
24,1152,-0.004970304
25,1150,-0.0023741870000000003
26,1148,0.00094036
27,1146,0.0039890740000000004
28,1144,0.005884831
29,1142,0.006112866999999999
30,1140,0.004895681
31,1138,0.00300275
32,1136,0.0014477320000000002
33,1134,0.0009112219999999999
34,1132,0.001654638
35,1130,0.003244118
36,1128,0.00472152
37,1126,0.004905867
38,1124,0.0031875590000000004
39,1122,-0.000181228
40,1120,-0.003956261
41,1118,-0.0066632340000000005
42,1116,-0.007018799
43,1114,-0.004821279
44,1112,-0.000876452
45,1110,0.003263012
46,1108,0.0063386480000000005
47,1106,0.007614814
48,1104,0.007278279
49,1102,0.006152705
50,1100,0.005673715
51,1098,0.006481321999999999
52,1096,0.008057129
53,1094,0.008483425
54,1092,0.005979199
55,1090,-0.000317242
56,1088,-0.009257999
57,1086,-0.018211758999999998
58,1084,-0.02378366
59,1082,-0.024139946000000002
60,1080,-0.019476606
61,1078,-0.012142198
62,1076,-0.004717507
63,1074,0.00071845
64,1072,0.0036677
65,1070,0.004529257
66,1068,0.004474515
67,1066,0.00412747
68,1064,0.0038517070000000002
69,1062,0.003286457
70,1060,0.002192947
71,1058,0.000340766
72,1056,-0.001607103
73,1054,-0.003113569
74,1052,-0.0037125390000000004
75,1050,-0.0036864429999999998
76,1048,-0.0033079
77,1046,-0.00315601
78,1044,-0.003388656
79,1042,-0.0040185559999999995
80,1040,-0.004410201
81,1038,-0.0044674779999999996
82,1036,-0.004277672
83,1034,-0.004296852
84,1032,-0.004610906
85,1030,-0.005369761
86,1028,-0.006203478
87,1026,-0.006693736
88,1024,-0.00620539
89,1022,-0.004520872
90,1020,-0.0015186960000000002
91,1018,0.002396105
92,1016,0.006492695
93,1014,0.009603603
94,1012,0.011003777
95,1010,0.010379622
96,1008,0.00826428
97,1006,0.005584955
98,1004,0.003319222
99,1002,0.001775264
100,1000,0.000827272
101,998,9.039e-06
102,996,-0.001015183
103,994,-0.002496478
104,992,-0.004142735
105,990,-0.005437329
106,988,-0.0058336
107,986,-0.00519404
108,984,-0.00369808
109,982,-0.00188273
110,980,-0.000293087
111,978,0.000599309
112,976,0.0006938939999999999
113,974,4.6508e-05
114,972,-0.001038923
115,970,-0.002230867
116,968,-0.0031765659999999996
117,966,-0.0035932620000000003
118,964,-0.003214774
119,962,-0.0019216679999999999
120,960,0.00018366200000000002
121,958,0.0027274240000000004
122,956,0.005298568000000001
123,954,0.007472225
124,952,0.008908194
125,950,0.009455048
126,948,0.009113665
127,946,0.008018035
128,944,0.006393559
129,942,0.004488407
130,940,0.002590584
131,938,0.001037533
132,936,0.00018973099999999998
133,934,0.00033819199999999996
134,932,0.001378776
135,930,0.0027588070000000003
136,928,0.003579048
137,926,0.00301065
138,924,0.000808169
139,922,-0.002543653
140,920,-0.005955229
141,918,-0.008189471
142,916,-0.00845159
143,914,-0.006707884
144,912,-0.0036669859999999997
145,910,-0.000321233
146,908,0.0024372
147,906,0.004053123
148,904,0.0045218129999999995
149,902,0.004199525
150,900,0.003550427
