,Wavenumber,12G9
0,1200,0.002880382
1,1198,0.0036150379999999997
2,1196,0.004099813
3,1194,0.00437738
4,1192,0.004383615
5,1190,0.00422226
6,1188,0.004849218
7,1186,0.006316372
8,1184,0.007225786999999999
9,1182,0.007038713
10,1180,0.005554027
11,1178,0.003074794
12,1176,0.000203313
13,1174,-0.0018097520000000002
14,1172,-0.001753384
15,1170,-0.000601571
16,1168,0.000251562
17,1166,0.000908634
18,1164,0.0009927389999999999
19,1162,0.00031853700000000003
20,1160,-0.001167718
21,1158,-0.003121896
22,1156,-0.005060012
23,1154,-0.00643225
24,1152,-0.006694039000000001
25,1150,-0.005271855
26,1148,-0.00258672
27,1146,0.000580083
28,1144,0.0032291909999999997
29,1142,0.004949253
30,1140,0.005640888
31,1138,0.0055236140000000005
32,1136,0.004694571
33,1134,0.003350181
34,1132,0.0018179000000000001
35,1130,0.00044112400000000004
36,1128,-0.000694828
37,1126,-0.001313795
38,1124,-0.001442185
39,1122,-0.001298633
40,1120,-0.001033692
41,1118,-0.000489227
42,1116,0.000698888
43,1114,0.002213727
44,1112,0.003284817
45,1110,0.003625534
46,1108,0.003091941
47,1106,0.0017675979999999998
48,1104,0.000345091
49,1102,-0.000281205
50,1100,0.000300285
51,1098,0.0017637039999999998
52,1096,0.003108584
53,1094,0.0034478309999999997
54,1092,0.001991109
55,1090,-0.001276948
56,1088,-0.005399725
57,1086,-0.009116647
58,1084,-0.011336893
59,1082,-0.011384252
60,1080,-0.009439386999999999
61,1078,-0.00607913
62,1076,-0.002526359
63,1074,0.000463924
64,1072,0.002605515
65,1070,0.0037329999999999998
66,1068,0.0038282409999999996
67,1066,0.003102181
68,1064,0.001648167
69,1062,-0.00041591
70,1060,-0.002691468
71,1058,-0.004181427
72,1056,-0.004251735
73,1054,-0.003076153
74,1052,-0.0013427270000000002
75,1050,0.000185985
76,1048,0.000944588
77,1046,0.000845536
78,1044,6.370699999999999e-05
79,1042,-0.000863407
80,1040,-0.0015801979999999999
81,1038,-0.002373619
82,1036,-0.0036317429999999998
83,1034,-0.005011102
84,1032,-0.006123611
85,1030,-0.006994499
86,1028,-0.007563213
87,1026,-0.007443969
88,1024,-0.006604069000000001
89,1022,-0.005208694
90,1020,-0.003354782
91,1018,-0.000819095
92,1016,0.002016905
93,1014,0.004559047
94,1012,0.0063898390000000005
95,1010,0.007254036
96,1008,0.0069708
97,1006,0.005868365
98,1004,0.004330537
99,1002,0.002712785
100,1000,0.001434219
101,998,0.001037493
102,996,0.0015549820000000001
103,994,0.002739485
104,992,0.003769093
105,990,0.00419761
106,988,0.00389303
107,986,0.002782435
108,984,0.001078846
109,982,-0.000511553
110,980,-0.001595476
111,978,-0.0019499089999999999
112,976,-0.0018044579999999999
113,974,-0.00135614
114,972,-0.0009631739999999999
115,970,-0.000880502
116,968,-0.001131178
117,966,-0.0013522520000000002
118,964,-0.001298486
119,962,-0.0006651589999999999
120,960,0.00022852599999999997
121,958,0.001225745
122,956,0.002035239
123,954,0.002571393
124,952,0.002817656
125,950,0.002830139
126,948,0.0025917329999999997
127,946,0.002296761
128,944,0.001914643
129,942,0.0015584560000000002
130,940,0.001148758
131,938,0.000785572
132,936,0.000564389
133,934,0.000741882
134,932,0.00106148
135,930,0.001277345
136,928,0.0012738110000000001
137,926,0.000848342
138,924,-0.000228197
139,922,-0.001717666
140,920,-0.00321709
141,918,-0.004375407
142,916,-0.005124986
143,914,-0.004806904
144,912,-0.003094738
145,910,-0.000623331
146,908,0.0017064489999999999
147,906,0.0036241520000000003
148,904,0.0045148390000000005
149,902,0.004103081
150,900,0.002890642
