,Wavenumber,H1102
0,1200,0.004172729
1,1198,0.005410833
2,1196,0.0064816940000000005
3,1194,0.0073109659999999995
4,1192,0.00791158
5,1190,0.008312028
6,1188,0.008555858000000001
7,1186,0.008673952
8,1184,0.008598836
9,1182,0.008122312
10,1180,0.006951794
11,1178,0.00502353
12,1176,0.002703133
13,1174,0.0006353180000000001
14,1172,-0.00055302
15,1170,-0.0005515990000000001
16,1168,0.0005113790000000001
17,1166,0.002022136
18,1164,0.0031365359999999997
19,1162,0.0031163840000000003
20,1160,0.0015920279999999999
21,1158,-0.001480149
22,1156,-0.005617833000000001
23,1154,-0.009898563
24,1152,-0.013022165
25,1150,-0.013889193000000001
26,1148,-0.011933196
27,1146,-0.007519056
28,1144,-0.001716825
29,1142,0.004009143
30,1140,0.008460015
31,1138,0.010881926
32,1136,0.011261881000000001
33,1134,0.009999564
34,1132,0.007813470999999999
35,1130,0.005286649
36,1128,0.002878367
37,1126,0.000695839
38,1124,-0.001163846
39,1122,-0.0026284570000000003
40,1120,-0.0033246659999999996
41,1118,-0.002949287
42,1116,-0.001273517
43,1114,0.001359016
44,1112,0.004308275
45,1110,0.006657837
46,1108,0.007960441
47,1106,0.008088976
48,1104,0.007574656999999999
49,1102,0.007022919
50,1100,0.00717134
51,1098,0.007912963
52,1096,0.008581818
53,1094,0.00783667
54,1092,0.0049848029999999995
55,1090,-5.8014e-05
56,1088,-0.0060118
57,1086,-0.011341123
58,1084,-0.014353429
59,1082,-0.014669422
60,1080,-0.012672767
61,1078,-0.009855046
62,1076,-0.007148877
63,1074,-0.005333671999999999
64,1072,-0.004140655
65,1070,-0.003542871
66,1068,-0.003240119
67,1066,-0.00366117
68,1064,-0.004766332
69,1062,-0.006825685
70,1060,-0.009215303000000001
71,1058,-0.011343246000000001
72,1056,-0.011716111000000001
73,1054,-0.009761144
74,1052,-0.005499031999999999
75,1050,-0.00022720599999999998
76,1048,0.005063034
77,1046,0.009015884
78,1044,0.01112886
79,1042,0.01100068
80,1040,0.009142286
81,1038,0.005459706
82,1036,0.00028243
83,1034,-0.006104747
84,1032,-0.012552976
85,1030,-0.018245017
86,1028,-0.022030917999999997
87,1026,-0.023358907
88,1024,-0.021786401
89,1022,-0.017852655
90,1020,-0.012139305
91,1018,-0.005840935
92,1016,2.7861e-05
93,1014,0.004485321
94,1012,0.007499955
95,1010,0.009275823
96,1008,0.010415602
97,1006,0.011128228
98,1004,0.011445358999999999
99,1002,0.010838678999999999
100,1000,0.009024986
101,998,0.006139721999999999
102,996,0.0030140659999999997
103,994,0.000608379
104,992,-5.4438e-05
105,990,0.0013552920000000001
106,988,0.004393483
107,986,0.007794559
108,984,0.010207853000000001
109,982,0.010590671000000001
110,980,0.008727999
111,978,0.00505585
112,976,0.000557351
113,974,-0.0038262659999999996
114,972,-0.007271008000000001
115,970,-0.009331299
116,968,-0.009846747
117,966,-0.009033916
118,964,-0.007221433
119,962,-0.004867433
120,960,-0.0023142460000000003
121,958,0.000166573
122,956,0.002488715
123,954,0.004565489
124,952,0.006340337
125,950,0.00768595
126,948,0.008532807
127,946,0.008725275
128,944,0.008047945
129,942,0.006305573
130,940,0.003599463
131,938,0.000469314
132,936,-0.002137724
133,934,-0.003319832
134,932,-0.002569943
135,930,-0.000175005
136,928,0.00284814
137,926,0.005152715
138,924,0.005667338
139,922,0.0040034779999999996
140,920,0.000606071
141,918,-0.0034585009999999997
142,916,-0.006849799
143,914,-0.008490852
144,912,-0.007882163000000001
145,910,-0.00530609
146,908,-0.001656546
147,906,0.001923415
148,904,0.004502669
149,902,0.0056254059999999995
150,900,0.0054622590000000006
