,Wavenumber,K296
0,1200,0.001404864
1,1198,0.003060765
2,1196,0.005076388
3,1194,0.007095935
4,1192,0.00870239
5,1190,0.00960792
6,1188,0.009650129
7,1186,0.008934441999999999
8,1184,0.007631508
9,1182,0.005841145
10,1180,0.00351602
11,1178,0.0008393960000000001
12,1176,-0.0017483689999999998
13,1174,-0.00356552
14,1172,-0.004108501
15,1170,-0.0033330829999999997
16,1168,-0.0018356960000000002
17,1166,-0.00054983
18,1164,-0.000350891
19,1162,-0.001525264
20,1160,-0.00368698
21,1158,-0.005943138000000001
22,1156,-0.007391646
23,1154,-0.007418318
24,1152,-0.0057980390000000005
25,1150,-0.002624816
26,1148,0.001542571
27,1146,0.005828613000000001
28,1144,0.009332515999999999
29,1142,0.011454565
30,1140,0.011867227
31,1138,0.010681541000000001
32,1136,0.008373651999999999
33,1134,0.005573847
34,1132,0.0028624740000000003
35,1130,0.0007126519999999999
36,1128,-0.0006908839999999999
37,1126,-0.0015587079999999998
38,1124,-0.00231641
39,1122,-0.0031833409999999997
40,1120,-0.004077974
41,1118,-0.004582835
42,1116,-0.004191393
43,1114,-0.002709594
44,1112,-0.000449456
45,1110,0.001834254
46,1108,0.003481743
47,1106,0.004231446
48,1104,0.004411358
49,1102,0.004726742
50,1100,0.0057743740000000005
51,1098,0.007596795999999999
52,1096,0.009564339
53,1094,0.010533428999999999
54,1092,0.009651596
55,1090,0.006673806
56,1088,0.002089205
57,1086,-0.0031706190000000004
58,1084,-0.007964811
59,1082,-0.011591727
60,1080,-0.013891998000000001
61,1078,-0.015132116999999999
62,1076,-0.015395143
63,1074,-0.014777665
64,1072,-0.013153121
65,1070,-0.010511075
66,1068,-0.007048098
67,1066,-0.0034968829999999997
68,1064,-0.000673494
69,1062,0.000661237
70,1060,0.000355524
71,1058,-0.001186238
72,1056,-0.0028862840000000002
73,1054,-0.003960768
74,1052,-0.004092944
75,1050,-0.003630195
76,1048,-0.00299351
77,1046,-0.0025751570000000002
78,1044,-0.0023769010000000003
79,1042,-0.002151784
80,1040,-0.0016888220000000002
81,1038,-0.001459362
82,1036,-0.0020011820000000002
83,1034,-0.0035036790000000004
84,1032,-0.005446103000000001
85,1030,-0.007060624000000001
86,1028,-0.007606351
87,1026,-0.006800392
88,1024,-0.0050626329999999995
89,1022,-0.003326431
90,1020,-0.002111208
91,1018,-0.001324267
92,1016,-0.00038813199999999996
93,1014,0.001277265
94,1012,0.0039674590000000004
95,1010,0.007254411999999999
96,1008,0.010139566
97,1006,0.011572515
98,1004,0.010798727
99,1002,0.007721285
100,1000,0.003040545
101,998,-0.001995441
102,996,-0.006013435
103,994,-0.008032886
104,992,-0.007707126
105,990,-0.005241012
106,988,-0.0014215089999999998
107,986,0.0027228540000000002
108,984,0.006261765
109,982,0.008629966
110,980,0.009526221999999999
111,978,0.008933591999999999
112,976,0.007020373000000001
113,974,0.0042316770000000005
114,972,0.00109039
115,970,-0.001783679
116,968,-0.003768932
117,966,-0.004497908
118,964,-0.004048186
119,962,-0.0026288059999999996
120,960,-0.000627087
121,958,0.0015191789999999998
122,956,0.003401963
123,954,0.004810662
124,952,0.005515641
125,950,0.0054573930000000005
126,948,0.004721462
127,946,0.00358783
128,944,0.002330899
129,942,0.001251562
130,940,0.0004912219999999999
131,938,0.00010928700000000001
132,936,2.412e-05
133,934,0.000319141
134,932,0.00088898
135,930,0.001561909
136,928,0.002087602
137,926,0.0021422679999999997
138,924,0.0014008229999999998
139,922,-0.000101326
140,920,-0.001999443
141,918,-0.0036304590000000004
142,916,-0.004440551
143,914,-0.004025551
144,912,-0.0025399529999999997
145,910,-0.000481017
146,908,0.001537154
147,906,0.003042021
148,904,0.003682398
149,902,0.003466672
150,900,0.0026542590000000004
