,Wavenumber,09B76
0,1200,0.003560753
1,1198,0.004746356
2,1196,0.005754984
3,1194,0.00654571
4,1192,0.007151983000000001
5,1190,0.007642548000000001
6,1188,0.008079945
7,1186,0.008503492
8,1184,0.008773005
9,1182,0.008591998
10,1180,0.007497106999999999
11,1178,0.005348874
12,1176,0.002503239
13,1174,-0.00029121700000000003
14,1172,-0.002339179
15,1170,-0.003248597
16,1168,-0.003049062
17,1166,-0.00214646
18,1164,-0.0011934460000000001
19,1162,-0.00069493
20,1160,-0.000877077
21,1158,-0.001759578
22,1156,-0.00318467
23,1154,-0.004756057
24,1152,-0.0058144419999999995
25,1150,-0.005727899999999999
26,1148,-0.00420833
27,1146,-0.001502232
28,1144,0.0017507789999999998
29,1142,0.004745064
30,1140,0.006830966999999999
31,1138,0.007637206999999999
32,1136,0.007199761999999999
33,1134,0.005864386
34,1132,0.004178164
35,1130,0.00259818
36,1128,0.001414999
37,1126,0.000551716
38,1124,-0.000133748
39,1122,-0.0007264239999999999
40,1120,-0.0009988
41,1118,-0.0006687360000000001
42,1116,0.000449214
43,1114,0.002033109
44,1112,0.0034536470000000002
45,1110,0.003925951
46,1108,0.003248893
47,1106,0.001766856
48,1104,0.000490454
49,1102,0.00038825599999999996
50,1100,0.002123331
51,1098,0.005282141999999999
52,1096,0.008638027
53,1094,0.010374923000000001
54,1092,0.009465458000000001
55,1090,0.005706831
56,1088,2.6272e-05
57,1086,-0.006241727
58,1084,-0.011518724
59,1082,-0.015097639
60,1080,-0.016729973000000002
61,1078,-0.016923299
62,1076,-0.015895587
63,1074,-0.014063663
64,1072,-0.011445365
65,1070,-0.008305801
66,1068,-0.004793014
67,1066,-0.0016179579999999999
68,1064,0.0008424060000000001
69,1062,0.002053364
70,1060,0.002065258
71,1058,0.001052795
72,1056,-3.6965e-05
73,1054,-0.000649131
74,1052,-0.000464748
75,1050,2.8155e-05
76,1048,0.000508293
77,1046,0.000472109
78,1044,-0.000105868
79,1042,-0.001187964
80,1040,-0.002277853
81,1038,-0.003320137
82,1036,-0.004191402
83,1034,-0.004968814
84,1032,-0.005454896999999999
85,1030,-0.005793683000000001
86,1028,-0.005979305
87,1026,-0.006282816
88,1024,-0.00675618
89,1022,-0.0074722009999999995
90,1020,-0.007982189
91,1018,-0.007771892
92,1016,-0.006380985
93,1014,-0.003799073
94,1012,-0.000175627
95,1010,0.003860529
96,1008,0.0076463419999999995
97,1006,0.010425792
98,1004,0.01166937
99,1002,0.011016788000000001
100,1000,0.008591681
101,998,0.005044524
102,996,0.001396702
103,994,-0.0013375210000000002
104,992,-0.002257069
105,990,-0.001034222
106,988,0.00186835
107,986,0.00530973
108,984,0.008079662
109,982,0.009284209
110,980,0.008526414
111,978,0.006038525
112,976,0.002536731
113,974,-0.001181057
114,972,-0.004400325
115,970,-0.00664326
116,968,-0.007659655
117,966,-0.007428242
118,964,-0.006171503
119,962,-0.004196056
120,960,-0.0018387820000000002
121,958,0.000578446
122,956,0.002804594
123,954,0.004628266
124,952,0.005895091999999999
125,950,0.006570004
126,948,0.00663138
127,946,0.00614082
128,944,0.00517703
129,942,0.003896962
130,940,0.002504076
131,938,0.001281689
132,936,0.000508481
133,934,0.000421339
134,932,0.001017661
135,930,0.002052477
136,928,0.002959063
137,926,0.003136505
138,924,0.002156228
139,922,1.2220999999999999e-05
140,920,-0.00283312
141,918,-0.0055161130000000004
142,916,-0.00714588
143,914,-0.007132574
144,912,-0.005490959
145,910,-0.0027314640000000003
146,908,0.00029580599999999997
147,906,0.002790408
148,904,0.00423134
149,902,0.004555478
150,900,0.004069559
