,Wavenumber,09C12
0,1200,0.002889048
1,1198,0.004088844
2,1196,0.005245441
3,1194,0.006249678000000001
4,1192,0.007080748
5,1190,0.007798869
6,1188,0.008452448000000001
7,1186,0.009080066999999999
8,1184,0.009559629
9,1182,0.009582558
10,1180,0.008681479
11,1178,0.006685025
12,1176,0.003885444
13,1174,0.0009706960000000001
14,1172,-0.0013496460000000001
15,1170,-0.002592381
16,1168,-0.0027014390000000004
17,1166,-0.002051976
18,1164,-0.001276362
19,1162,-0.0009422710000000001
20,1160,-0.001377717
21,1158,-0.0026741020000000002
22,1156,-0.0046714470000000004
23,1154,-0.0068922440000000005
24,1152,-0.008490237
25,1150,-0.00867039
26,1148,-0.007022883000000001
27,1146,-0.0037927309999999997
28,1144,0.00027340400000000004
29,1142,0.004158987
30,1140,0.006978314
31,1138,0.008217263
32,1136,0.00796519
33,1134,0.00659442
34,1132,0.004761393
35,1130,0.003033045
36,1128,0.0017720879999999998
37,1126,0.0009957030000000001
38,1124,0.0005820959999999999
39,1122,0.000338079
40,1120,0.000360279
41,1118,0.000747838
42,1116,0.0016345560000000001
43,1114,0.002698544
44,1112,0.0033793609999999996
45,1110,0.00309666
46,1108,0.0018583170000000002
47,1106,0.000133378
48,1104,-0.000981732
49,1102,-0.00055958
50,1100,0.001955647
51,1098,0.005946371
52,1096,0.010075687
53,1094,0.012607576
54,1092,0.012549902
55,1090,0.009535915
56,1088,0.0043193879999999995
57,1086,-0.002077758
58,1084,-0.00824183
59,1082,-0.013383683
60,1080,-0.016888048
61,1078,-0.018781311000000002
62,1076,-0.018936895
63,1074,-0.017688079
64,1072,-0.015022029
65,1070,-0.011404981000000002
66,1068,-0.0071538209999999994
67,1066,-0.0030519379999999997
68,1064,0.000479686
69,1062,0.002742686
70,1060,0.00364565
71,1058,0.0031813490000000004
72,1056,0.002254378
73,1054,0.0013824310000000002
74,1052,0.001036974
75,1050,0.0009415269999999999
76,1048,0.000964737
77,1046,0.000593353
78,1044,-0.000179288
79,1042,-0.001416041
80,1040,-0.0027014820000000003
81,1038,-0.004065133
82,1036,-0.005301482
83,1034,-0.006466957
84,1032,-0.007252313000000001
85,1030,-0.007809349
86,1028,-0.008167439
87,1026,-0.008728592
88,1024,-0.009560045
89,1022,-0.010683957
90,1020,-0.011496012
91,1018,-0.011396326000000002
92,1016,-0.009759512
93,1014,-0.006538011
94,1012,-0.0019451470000000002
95,1010,0.003176313
96,1008,0.007996336
97,1006,0.011597841999999999
98,1004,0.013371633
99,1002,0.012915135
100,1000,0.010399536
101,998,0.006513171999999999
102,996,0.002341406
103,994,-0.0010366289999999998
104,992,-0.00255884
105,990,-0.00175513
106,988,0.001045639
107,986,0.004731559000000001
108,984,0.007934399
109,982,0.009544452
110,980,0.009069685
111,978,0.006705443
112,976,0.003220562
113,974,-0.000464689
114,972,-0.0035141770000000003
115,970,-0.005419656
116,968,-0.006051985
117,966,-0.005541843
118,964,-0.004219293
119,962,-0.002451215
120,960,-0.000518646
121,958,0.001379631
122,956,0.003130284
123,954,0.004647747
124,952,0.005775038000000001
125,950,0.0063960069999999996
126,948,0.006422363
127,946,0.005914065
128,944,0.0049613009999999996
129,942,0.003712655
130,940,0.0023688470000000003
131,938,0.00121588
132,936,0.000478491
133,934,0.000348338
134,932,0.0008354839999999999
135,930,0.001718481
136,928,0.0025191420000000003
137,926,0.002705284
138,924,0.001850226
139,922,-1.8968e-05
140,920,-0.002488515
141,918,-0.004814975
142,916,-0.006247717
143,914,-0.006285201999999999
144,912,-0.004893928
145,910,-0.002520515
146,908,9.1805e-05
147,906,0.002306874
148,904,0.003611875
149,902,0.003884475
150,900,0.003405388
