,Wavenumber,18_P2_4
0,1200,0.0035671929999999998
1,1198,0.004436209
2,1196,0.005054089
3,1194,0.005500421
4,1192,0.0057835230000000005
5,1190,0.006026276
6,1188,0.006489473000000001
7,1186,0.007203939
8,1184,0.007828124
9,1182,0.008033289
10,1180,0.007423633000000001
11,1178,0.005891545
12,1176,0.003714677
13,1174,0.0016572779999999999
14,1172,0.000415811
15,1170,0.0001954
16,1168,0.00073648
17,1166,0.001641245
18,1164,0.002243396
19,1162,0.002003604
20,1160,0.0006887789999999999
21,1158,-0.0016906710000000001
22,1156,-0.004802822
23,1154,-0.007794705999999999
24,1152,-0.009542682
25,1150,-0.009099108
26,1148,-0.0063453
27,1146,-0.002068221
28,1144,0.002409829
29,1142,0.005871176999999999
30,1140,0.007784204
31,1138,0.008236793000000001
32,1136,0.007580784
33,1134,0.006028751999999999
34,1132,0.003578098
35,1130,0.000292167
36,1128,-0.0035299570000000002
37,1126,-0.007200968
38,1124,-0.009828891
39,1122,-0.010677286999999999
40,1120,-0.009323988
41,1118,-0.005909115
42,1116,-0.0010767
43,1114,0.004067374
44,1112,0.008286921
45,1110,0.010669069
46,1108,0.010932131000000001
47,1106,0.009487096
48,1104,0.007330655
49,1102,0.005516079
50,1100,0.004780989
51,1098,0.005148608
52,1096,0.0060895969999999995
53,1094,0.006667556999999999
54,1092,0.006130645
55,1090,0.004126116
56,1088,0.0008910939999999999
57,1086,-0.0029945109999999996
58,1084,-0.006706235
59,1082,-0.00969532
60,1080,-0.011659458999999999
61,1078,-0.012708061000000001
62,1076,-0.012965846999999999
63,1074,-0.012530518999999999
64,1072,-0.011181544
65,1070,-0.008868852
66,1068,-0.005595855
67,1066,-0.0017090739999999999
68,1064,0.002482133
69,1062,0.006499181999999999
70,1060,0.009795261999999999
71,1058,0.011580368
72,1056,0.011317898
73,1054,0.008555024
74,1052,0.003649844
75,1050,-0.0024264829999999997
76,1048,-0.008389711
77,1046,-0.013355411000000001
78,1044,-0.016657206
79,1042,-0.018203587
80,1040,-0.018049947
81,1038,-0.016653488
82,1036,-0.014406551
83,1034,-0.011819591
84,1032,-0.009532971
85,1030,-0.008141121
86,1028,-0.007589048
87,1026,-0.007556695
88,1024,-0.007381866
89,1022,-0.0065335869999999996
90,1020,-0.004569973
91,1018,-0.001375535
92,1016,0.002754895
93,1014,0.007169890999999999
94,1012,0.011250521000000001
95,1010,0.014412663000000001
96,1008,0.016464462
97,1006,0.017471048
98,1004,0.017570813
99,1002,0.016841274
100,1000,0.015207575
101,998,0.012210947
102,996,0.007327299999999999
103,994,0.0005429030000000001
104,992,-0.006789493000000001
105,990,-0.012341531999999999
106,988,-0.014227051000000001
107,986,-0.012176293999999999
108,984,-0.007662466
109,982,-0.003231025
110,980,-0.001075718
111,978,-0.0017388389999999998
112,976,-0.003958699
113,974,-0.005766445
114,972,-0.0058701380000000004
115,970,-0.004283759
116,968,-0.00176024
117,966,0.0008083519999999999
118,964,0.002805196
119,962,0.0041085259999999995
120,960,0.00492899
121,958,0.005571924
122,956,0.006177934
123,954,0.006631978
124,952,0.006765315
125,950,0.006541575
126,948,0.006016412
127,946,0.005340375
128,944,0.004598636
129,942,0.003736128
130,940,0.00269522
131,938,0.001502058
132,936,0.0003804
133,934,-0.000147262
134,932,0.00027599
135,930,0.001555352
136,928,0.0029617840000000003
137,926,0.003628915
138,924,0.002944419
139,922,0.000689262
140,920,-0.00271913
141,918,-0.0062009990000000004
142,916,-0.008521137
143,914,-0.008802978000000001
144,912,-0.006903571999999999
145,910,-0.00339171
146,908,0.000543775
147,906,0.003719031
148,904,0.0054345819999999994
149,902,0.0056288169999999995
150,900,0.004805987
