,Wavenumber,KP101
0,1200,0.00316214
1,1198,0.003937481
2,1196,0.004494907
3,1194,0.004950174
4,1192,0.005282538000000001
5,1190,0.005561863
6,1188,0.006106182
7,1186,0.0069274490000000005
8,1184,0.007177536
9,1182,0.006602185
10,1180,0.005001042
11,1178,0.002628011
12,1176,2.0299e-05
13,1174,-0.001786964
14,1172,-0.002007174
15,1170,-0.000914003
16,1168,0.000457814
17,1166,0.001621582
18,1164,0.0018905060000000001
19,1162,0.001151763
20,1160,-0.00039835900000000004
21,1158,-0.002224335
22,1156,-0.003916757
23,1154,-0.005018596
24,1152,-0.0052466990000000005
25,1150,-0.004326271
26,1148,-0.002382159
27,1146,0.000275081
28,1144,0.002861588
29,1142,0.004930080999999999
30,1140,0.006141528
31,1138,0.006434198
32,1136,0.005784738
33,1134,0.004261305
34,1132,0.002021381
35,1130,-0.000564646
36,1128,-0.003155404
37,1126,-0.0050667379999999995
38,1124,-0.006018346
39,1122,-0.005982477
40,1120,-0.0050654409999999995
41,1118,-0.0032040529999999997
42,1116,-0.000473318
43,1114,0.002805834
44,1112,0.005876969
45,1110,0.008101822
46,1108,0.00879682
47,1106,0.007841225
48,1104,0.00589875
49,1102,0.004014993
50,1100,0.002833327
51,1098,0.002685115
52,1096,0.00293803
53,1094,0.0026678220000000002
54,1092,0.001084797
55,1090,-0.001873465
56,1088,-0.005607999000000001
57,1086,-0.009267038
58,1084,-0.011927078
59,1082,-0.012644416
60,1080,-0.011659211000000001
61,1078,-0.009583519
62,1076,-0.007063216
63,1074,-0.0045798670000000005
64,1072,-0.0023656320000000003
65,1070,-0.000432456
66,1068,0.000985818
67,1066,0.0017708889999999999
68,1064,0.0014361320000000001
69,1062,-9.060200000000001e-05
70,1060,-0.002205124
71,1058,-0.0037552609999999998
72,1056,-0.003681323
73,1054,-0.001615238
74,1052,0.0013193839999999998
75,1050,0.0035302209999999996
76,1048,0.00370098
77,1046,0.001575948
78,1044,-0.00202762
79,1042,-0.005541148
80,1040,-0.007666856
81,1038,-0.007915493000000001
82,1036,-0.00705064
83,1034,-0.005854934
84,1032,-0.0048909
85,1030,-0.0043474920000000005
86,1028,-0.004345969
87,1026,-0.004673972
88,1024,-0.004958617
89,1022,-0.004762202
90,1020,-0.004016926
91,1018,-0.002399525
92,1016,3.6164e-05
93,1014,0.00312032
94,1012,0.006145996999999999
95,1010,0.008491687
96,1008,0.00989323
97,1006,0.010366906
98,1004,0.009577455
99,1002,0.007715783
100,1000,0.005350063
101,998,0.00317725
102,996,0.00153123
103,994,0.0006923480000000001
104,992,0.000556844
105,990,0.000788308
106,988,0.000752979
107,986,0.000498518
108,984,0.00010063200000000001
109,982,-0.000257379
110,980,-0.000524668
111,978,-0.000734725
112,976,-0.001176074
113,974,-0.0018150229999999998
114,972,-0.002506435
115,970,-0.002814912
116,968,-0.002839988
117,966,-0.002439367
118,964,-0.001702473
119,962,-0.0006241630000000001
120,960,0.0006795439999999999
121,958,0.002133435
122,956,0.003436549
123,954,0.004549467
124,952,0.00505226
125,950,0.0048735670000000005
126,948,0.004109299
127,946,0.00323947
128,944,0.002290475
129,942,0.0014432520000000001
130,940,0.0008326989999999999
131,938,0.000662916
132,936,0.00073913
133,934,0.000997362
134,932,0.001368056
135,930,0.001898556
136,928,0.0019395670000000001
137,926,0.0012723139999999999
138,924,-8.9287e-05
139,922,-0.001865173
140,920,-0.0038029540000000003
141,918,-0.005274259
142,916,-0.0058220780000000005
143,914,-0.005115786
144,912,-0.003495873
145,910,-0.001174104
146,908,0.0012047960000000002
147,906,0.003033638
148,904,0.003885905
149,902,0.003915288
150,900,0.003176817
