,Wavenumber,H2355
0,1200,0.003298399
1,1198,0.0040291829999999995
2,1196,0.004499731
3,1194,0.004811144
4,1192,0.004823916
5,1190,0.004844495
6,1188,0.005718163
7,1186,0.007438109
8,1184,0.008568562
9,1182,0.008554975
10,1180,0.007174575999999999
11,1178,0.004678483
12,1176,0.001597369
13,1174,-0.0006456880000000001
14,1172,-0.0008471819999999999
15,1170,0.000597141
16,1168,0.002378518
17,1166,0.0042334059999999995
18,1164,0.005394844
19,1162,0.005200495
20,1160,0.0032489909999999997
21,1158,-0.00019130000000000001
22,1156,-0.004700523
23,1154,-0.009244877
24,1152,-0.012702
25,1150,-0.013704533
26,1148,-0.011940333999999999
27,1146,-0.008028054
28,1144,-0.0032928009999999997
29,1142,0.001165795
30,1140,0.004254026
31,1138,0.005634678000000001
32,1136,0.0054105740000000005
33,1134,0.004230028
34,1132,0.002549677
35,1130,0.000882593
36,1128,-0.00032570900000000004
37,1126,-0.0006693210000000001
38,1124,-0.00045605300000000005
39,1122,0.000181366
40,1120,0.000940967
41,1118,0.001800221
42,1116,0.002737253
43,1114,0.0038151929999999997
44,1112,0.004771566
45,1110,0.0054084730000000004
46,1108,0.005542903
47,1106,0.00551828
48,1104,0.005521737
49,1102,0.005951832
50,1100,0.006770013
51,1098,0.007678056
52,1096,0.007999374
53,1094,0.0073177319999999995
54,1092,0.005281229
55,1090,0.002083412
56,1088,-0.0018335979999999999
57,1086,-0.005817773
58,1084,-0.009514881999999999
59,1082,-0.012358248999999998
60,1080,-0.013997241
61,1078,-0.014296943999999999
62,1076,-0.01364899
63,1074,-0.012266252
64,1072,-0.010615956000000001
65,1070,-0.009146743
66,1068,-0.008098153
67,1066,-0.007027561
68,1064,-0.005685401
69,1062,-0.004142467
70,1060,-0.0027959940000000004
71,1058,-0.001730628
72,1056,-0.001054738
73,1054,-0.000453403
74,1052,0.000630377
75,1050,0.0028578909999999996
76,1048,0.006089808
77,1046,0.009521601
78,1044,0.011774908
79,1042,0.011821112
80,1040,0.009012128000000001
81,1038,0.003544747
82,1036,-0.0037027490000000004
83,1034,-0.011034226999999999
84,1032,-0.016753099
85,1030,-0.019510467
86,1028,-0.019085748
87,1026,-0.015872626
88,1024,-0.011033753
89,1022,-0.00577153
90,1020,-0.001277035
91,1018,0.001964933
92,1016,0.0036994159999999996
93,1014,0.004204866
94,1012,0.0038334640000000004
95,1010,0.003348695
96,1008,0.003295261
97,1006,0.004047279
98,1004,0.00510423
99,1002,0.005951404
100,1000,0.005938854
101,998,0.005086332
102,996,0.003767364
103,994,0.002896542
104,992,0.003004777
105,990,0.00410335
106,988,0.005415331999999999
107,986,0.006373291
108,984,0.0061963140000000005
109,982,0.004656579
110,980,0.001972232
111,978,-0.001018332
112,976,-0.0037764079999999998
113,974,-0.005743103
114,972,-0.00671844
115,970,-0.006319831999999999
116,968,-0.004878471
117,966,-0.002722045
118,964,-0.00039533699999999995
119,962,0.001711434
120,960,0.003063345
121,958,0.003746619
122,956,0.003756013
123,954,0.0034975490000000004
124,952,0.003081961
125,950,0.002889471
126,948,0.0028935429999999997
127,946,0.00317579
128,944,0.0035548290000000002
129,942,0.003930673
130,940,0.0038119559999999996
131,938,0.003050529
132,936,0.001715403
133,934,0.00043503300000000003
134,932,-0.0005469730000000001
135,930,-0.0009177510000000001
136,928,-0.0009255530000000001
137,926,-0.000748874
138,924,-0.000827442
139,922,-0.001281565
140,920,-0.002011438
141,918,-0.002435215
142,916,-0.002422474
143,914,-0.0017760739999999999
144,912,-0.0008567739999999999
145,910,0.00026893
146,908,0.001159477
147,906,0.0017014679999999998
148,904,0.00181316
149,902,0.001803195
150,900,0.00168636
