,Wavenumber,RP66
0,1200,0.003630045
1,1198,0.00529922
2,1196,0.007233639
3,1194,0.009134338
4,1192,0.010428492
5,1190,0.010471383
6,1188,0.008809838
7,1186,0.0056264869999999995
8,1184,0.001696869
9,1182,-0.0018812739999999998
10,1180,-0.004245985999999999
11,1178,-0.004945276
12,1176,-0.004010736
13,1174,-0.001864156
14,1172,0.00073029
15,1170,0.0029400690000000004
16,1168,0.0040206420000000005
17,1166,0.003509344
18,1164,0.0013762820000000002
19,1162,-0.001817263
20,1160,-0.005095224000000001
21,1158,-0.00748869
22,1156,-0.008365869
23,1154,-0.007552356999999999
24,1152,-0.005294074
25,1150,-0.002130828
26,1148,0.001264175
27,1146,0.004146013
28,1144,0.005937108000000001
29,1142,0.006461031999999999
30,1140,0.005925795
31,1138,0.004741611
32,1136,0.003420554
33,1134,0.002369763
34,1132,0.001811747
35,1130,0.001746854
36,1128,0.002036438
37,1126,0.00243748
38,1124,0.002748376
39,1122,0.0027849190000000003
40,1120,0.002607199
41,1118,0.00235287
42,1116,0.0021996439999999997
43,1114,0.002137666
44,1112,0.002013889
45,1110,0.001537838
46,1108,0.0007473989999999999
47,1106,-0.000150353
48,1104,-0.000550611
49,1102,0.000101971
50,1100,0.002130708
51,1098,0.005003936
52,1096,0.007586233
53,1094,0.00833687
54,1092,0.006364824
55,1090,0.001519475
56,1088,-0.005074277
57,1086,-0.011771276
58,1084,-0.016801873999999998
59,1082,-0.019311441000000002
60,1080,-0.019090463000000002
61,1078,-0.016866933
62,1076,-0.013397775
63,1074,-0.009521344000000001
64,1072,-0.005591530999999999
65,1070,-0.002101879
66,1068,0.0006176469999999999
67,1066,0.002111521
68,1064,0.002432179
69,1062,0.0015774779999999998
70,1060,-1.4682000000000001e-05
71,1058,-0.00177441
72,1056,-0.002772348
73,1054,-0.002574485
74,1052,-0.001087118
75,1050,0.0011846110000000001
76,1048,0.003776368
77,1046,0.006035095
78,1044,0.007660593
79,1042,0.008407185
80,1040,0.008229130999999999
81,1038,0.00674334
82,1036,0.003797454
83,1034,-0.000535074
84,1032,-0.005561328000000001
85,1030,-0.010490009
86,1028,-0.014376739
87,1026,-0.016753074
88,1024,-0.017418175
89,1022,-0.016617168
90,1020,-0.014498951000000001
91,1018,-0.011235293
92,1016,-0.0069867869999999995
93,1014,-0.00213258
94,1012,0.00287086
95,1010,0.007243151
96,1008,0.010334537
97,1006,0.01168848
98,1004,0.011279599
99,1002,0.009453310999999999
100,1000,0.00687304
101,998,0.004367022
102,996,0.0026030420000000003
103,994,0.001848547
104,992,0.002141521
105,990,0.003189907
106,988,0.004391895
107,986,0.005173406
108,984,0.005211766
109,982,0.004502300000000001
110,980,0.0032563040000000002
111,978,0.001806721
112,976,0.000382364
113,974,-0.000950882
114,972,-0.002158721
115,970,-0.0030830659999999998
116,968,-0.003626387
117,966,-0.003672292
118,964,-0.003098084
119,962,-0.001873389
120,960,-0.000234978
121,958,0.0014903720000000002
122,956,0.0029642229999999998
123,954,0.003986073
124,952,0.004414175
125,950,0.004333134000000001
126,948,0.003913225
127,946,0.00336099
128,944,0.0026975090000000003
129,942,0.001856848
130,940,0.000801645
131,938,-0.000213205
132,936,-0.000911059
133,934,-0.001014308
134,932,-0.000464745
135,930,0.000580442
136,928,0.0015918420000000002
137,926,0.002014205
138,924,0.001514323
139,922,0.00022615
140,920,-0.001425333
141,918,-0.002798234
142,916,-0.0033474240000000003
143,914,-0.002731098
144,912,-0.001109551
145,910,0.001004484
146,908,0.002820893
147,906,0.0037305159999999997
148,904,0.0034702059999999996
149,902,0.002216218
150,900,0.000458845
