,Wavenumber,K541
0,1200,0.003068607
1,1198,0.005038575
2,1196,0.007457091999999999
3,1194,0.010052935
4,1192,0.012100105
5,1190,0.012735181000000002
6,1188,0.011388996
7,1186,0.00804452
8,1184,0.003250556
9,1182,-0.001665183
10,1180,-0.0053338019999999995
11,1178,-0.0068731519999999996
12,1176,-0.0061653
13,1174,-0.003612126
14,1172,-0.000156236
15,1170,0.0029807490000000004
16,1168,0.004774258
17,1166,0.00472595
18,1164,0.00276819
19,1162,-0.000613368
20,1160,-0.004473508
21,1158,-0.007684283
22,1156,-0.009455176
23,1154,-0.009313494
24,1152,-0.007247943000000001
25,1150,-0.003714445
26,1148,0.000452488
27,1146,0.004206879
28,1144,0.00670166
29,1142,0.007614421999999999
30,1140,0.007100198
31,1138,0.005723219
32,1136,0.004098229
33,1134,0.002733375
34,1132,0.001932309
35,1130,0.0017258920000000001
36,1128,0.001936005
37,1126,0.002319882
38,1124,0.002611032
39,1122,0.0026640059999999996
40,1120,0.002518965
41,1118,0.002321596
42,1116,0.002224593
43,1114,0.002157607
44,1112,0.001920795
45,1110,0.001389711
46,1108,0.000557279
47,1106,-0.000327201
48,1104,-0.0006882030000000001
49,1102,6.008e-05
50,1100,0.002233792
51,1098,0.005459908
52,1096,0.008697467
53,1094,0.01041972
54,1092,0.009367393
55,1090,0.005188505
56,1088,-0.001301221
57,1086,-0.008617938
58,1084,-0.014957332
59,1082,-0.018962877
60,1080,-0.020069228
61,1078,-0.018677954
62,1076,-0.015509941999999999
63,1074,-0.011271073999999999
64,1072,-0.00647067
65,1070,-0.002042949
66,1068,0.001175386
67,1066,0.00270827
68,1064,0.002644889
69,1062,0.001117577
70,1060,-0.001174507
71,1058,-0.003168882
72,1056,-0.003879635
73,1054,-0.003246943
74,1052,-0.001573913
75,1050,0.000681932
76,1048,0.0031020040000000002
77,1046,0.005126885
78,1044,0.006695518
79,1042,0.007887531
80,1040,0.00869955
81,1038,0.008584389
82,1036,0.006967533000000001
83,1034,0.003725043
84,1032,-0.000875098
85,1030,-0.006385096
86,1028,-0.011934553999999998
87,1026,-0.016723684
88,1024,-0.02007682
89,1022,-0.021731927999999998
90,1020,-0.021482277999999997
91,1018,-0.019093133
92,1016,-0.014735189
93,1014,-0.008901008
94,1012,-0.00221681
95,1010,0.004187191
96,1008,0.009233382
97,1006,0.012060265
98,1004,0.012280341
99,1002,0.010221022
100,1000,0.0067873230000000005
101,998,0.0031857829999999998
102,996,0.000445507
103,994,-0.000859089
104,992,-0.000473131
105,990,0.001354247
106,988,0.003905908
107,986,0.006359486
108,984,0.008017578000000001
109,982,0.008566711
110,980,0.008002091
111,978,0.006565862
112,976,0.004560491
113,974,0.002283725
114,972,-4.6006999999999995e-05
115,970,-0.0021048779999999997
116,968,-0.0035398290000000004
117,966,-0.004040954
118,964,-0.003552642
119,962,-0.002178701
120,960,-0.00024638
121,958,0.0018648470000000002
122,956,0.0037153459999999996
123,954,0.005019555
124,952,0.005591449
125,950,0.005444295
126,948,0.004732245
127,946,0.0037350120000000002
128,944,0.002610649
129,942,0.001521101
130,940,0.000506618
131,938,-0.00034066099999999997
132,936,-0.0008740210000000001
133,934,-0.00086086
134,932,-0.000205478
135,930,0.0009266880000000001
136,928,0.0020385570000000003
137,926,0.0025458720000000002
138,924,0.0019450620000000002
139,922,0.00023123599999999998
140,920,-0.002161131
141,918,-0.004410697
142,916,-0.005689088
143,914,-0.005382751
144,912,-0.003521285
145,910,-0.000617585
146,908,0.002388553
147,906,0.004599367
148,904,0.005399291
149,902,0.004718492
150,900,0.00292984
