,Wavenumber,IT04
0,1200,0.004448619
1,1198,0.0051234440000000004
2,1196,0.005497159000000001
3,1194,0.005678028000000001
4,1192,0.005802924
5,1190,0.005979138
6,1188,0.006257156
7,1186,0.006678053000000001
8,1184,0.00695257
9,1182,0.0068201469999999995
10,1180,0.006014846999999999
11,1178,0.004538202
12,1176,0.002806517
13,1174,0.001504744
14,1172,0.00109734
15,1170,0.0015811579999999998
16,1168,0.002379563
17,1166,0.002940847
18,1164,0.002827579
19,1162,0.001955882
20,1160,0.0006121519999999999
21,1158,-0.000844408
22,1156,-0.002389337
23,1154,-0.004123196
24,1152,-0.0059325390000000006
25,1150,-0.0073210390000000005
26,1148,-0.007554419000000001
27,1146,-0.006101972
28,1144,-0.0030852320000000003
29,1142,0.000757495
30,1140,0.004313024
31,1138,0.006570518000000001
32,1136,0.006958736
33,1134,0.005629927
34,1132,0.003349098
35,1130,0.000831933
36,1128,-0.001583024
37,1126,-0.0038585459999999996
38,1124,-0.00587667
39,1122,-0.007242747
40,1120,-0.007215434000000001
41,1118,-0.005025123
42,1116,-0.000576581
43,1114,0.005057359
44,1112,0.010091523
45,1110,0.012769876999999999
46,1108,0.012221135
47,1106,0.008818131
48,1104,0.004210535
49,1102,0.000404456
50,1100,-0.0011270260000000002
51,1098,-0.000204713
52,1096,0.00209577
53,1094,0.004030344
54,1092,0.004205253
55,1090,0.002122726
56,1088,-0.001526794
57,1086,-0.005691311
58,1084,-0.009124617
59,1082,-0.011034248
60,1080,-0.011285995
61,1078,-0.010065344
62,1076,-0.007431674
63,1074,-0.003982647
64,1072,-0.0006601189999999999
65,1070,0.00152629
66,1068,0.00206206
67,1066,0.0005681390000000001
68,1064,-0.002600164
69,1062,-0.005984168000000001
70,1060,-0.007746787
71,1058,-0.007228025
72,1056,-0.0046002
73,1054,-0.0010226480000000001
74,1052,0.00166525
75,1050,0.0017666770000000001
76,1048,-0.000782397
77,1046,-0.004610942
78,1044,-0.007970849
79,1042,-0.009629051999999999
80,1040,-0.009130474
81,1038,-0.007360741999999999
82,1036,-0.005524915
83,1034,-0.004709025
84,1032,-0.005019679
85,1030,-0.005993721
86,1028,-0.006973163
87,1026,-0.00747171
88,1024,-0.00737244
89,1022,-0.006806901999999999
90,1020,-0.0056513069999999995
91,1018,-0.0036347659999999998
92,1016,-0.000265428
93,1014,0.004516969
94,1012,0.010030985
95,1010,0.015056465
96,1008,0.018492189
97,1006,0.019701824
98,1004,0.018573008000000002
99,1002,0.015523373
100,1000,0.011175383
101,998,0.006175147
102,996,0.001088556
103,994,-0.0035039790000000004
104,992,-0.006962621
105,990,-0.008838381
106,988,-0.009227394
107,986,-0.008587851
108,984,-0.007551275
109,982,-0.006637616999999999
110,980,-0.005961357
111,978,-0.005130102
112,976,-0.003737134
113,974,-0.0016864360000000001
114,972,0.000641944
115,970,0.0028026809999999996
116,968,0.004386436
117,966,0.005240703
118,964,0.005372767
119,962,0.004913298
120,960,0.004001032
121,958,0.002905018
122,956,0.001967874
123,954,0.00153241
124,952,0.001680396
125,950,0.002383385
126,948,0.003287683
127,946,0.003992776
128,944,0.004260158
129,942,0.004058759
130,940,0.003555623
131,938,0.002966624
132,936,0.002550283
133,934,0.002594317
134,932,0.0029415129999999998
135,930,0.003243787
136,928,0.003037733
137,926,0.0019893470000000003
138,924,5.2529999999999995e-06
139,922,-0.002640768
140,920,-0.005391713
141,918,-0.007555123
142,916,-0.008500872
143,914,-0.007705394
144,912,-0.005213869
145,910,-0.001720564
146,908,0.001655689
147,906,0.003977725
148,904,0.004738915
149,902,0.004188082
150,900,0.00305468
