,Wavenumber,2934
0,1200,0.005320826
1,1198,0.00623139
2,1196,0.006791949
3,1194,0.00701942
4,1192,0.007015528
5,1190,0.006929741
6,1188,0.006892499999999999
7,1186,0.0069435519999999995
8,1184,0.006926951
9,1182,0.006571736999999999
10,1180,0.005618003000000001
11,1178,0.00408679
12,1176,0.002356208
13,1174,0.00107175
14,1172,0.0006563910000000001
15,1170,0.0010666710000000002
16,1168,0.00184525
17,1166,0.002401239
18,1164,0.002329747
19,1162,0.001658426
20,1160,0.0007849210000000001
21,1158,2.878e-05
22,1156,-0.0006979760000000001
23,1154,-0.001695453
24,1152,-0.003022944
25,1150,-0.004381357
26,1148,-0.005086482
27,1146,-0.004483084
28,1144,-0.0023500979999999997
29,1142,0.0007667010000000001
30,1140,0.003874543
31,1138,0.005938288000000001
32,1136,0.0064440059999999995
33,1134,0.005412955
34,1132,0.0034504220000000003
35,1130,0.001149585
36,1128,-0.00122956
37,1126,-0.0038531359999999996
38,1124,-0.006570357
39,1122,-0.008780554
40,1120,-0.009278439
41,1118,-0.007088830999999999
42,1116,-0.0019479329999999998
43,1114,0.005021258
44,1112,0.011686963
45,1110,0.015689922
46,1108,0.015895922
47,1106,0.012536058999999999
48,1104,0.007381637
49,1102,0.002638037
50,1100,0.00025221900000000003
51,1098,0.000571774
52,1096,0.002496355
53,1094,0.003883367
54,1092,0.0032251579999999997
55,1090,-5.6171e-05
56,1088,-0.004740594
57,1086,-0.009119349
58,1084,-0.011567268
59,1082,-0.011746233
60,1080,-0.009955402
61,1078,-0.007292791999999999
62,1076,-0.004429444
63,1074,-0.002002665
64,1072,7.2403e-05
65,1070,0.001284119
66,1068,0.001154387
67,1066,-0.000956481
68,1064,-0.004560794
69,1062,-0.008652281999999999
70,1060,-0.011370353
71,1058,-0.011426755
72,1056,-0.008129177
73,1054,-0.002898528
74,1052,0.0019226970000000001
75,1050,0.003768627
76,1048,0.001986848
77,1046,-0.00256016
78,1044,-0.0075355380000000005
79,1042,-0.010946048
80,1040,-0.011475627
81,1038,-0.009808507
82,1036,-0.007233051
83,1034,-0.005275148
84,1032,-0.00447161
85,1030,-0.005025045
86,1028,-0.006361241
87,1026,-0.00799739
88,1024,-0.009338655
89,1022,-0.01017663
90,1020,-0.009892067
91,1018,-0.008009309000000001
92,1016,-0.0041446059999999995
93,1014,0.001400663
94,1012,0.007914218
95,1010,0.014025338
96,1008,0.018499669
97,1006,0.020617226000000002
98,1004,0.020523926
99,1002,0.01867112
100,1000,0.015670166
101,998,0.011982866000000002
102,996,0.007994705
103,994,0.004044905
104,992,0.00066423
105,990,-0.001785119
106,988,-0.003337261
107,986,-0.004545132
108,984,-0.005989766
109,982,-0.007867599
110,980,-0.009695059
111,978,-0.010684388999999999
112,976,-0.010234113000000001
113,974,-0.008401654
114,972,-0.005693593
115,970,-0.0028696259999999997
116,968,-0.000489496
117,966,0.001214247
118,964,0.002227738
119,962,0.002594912
120,960,0.002438178
121,958,0.001989631
122,956,0.0016763210000000001
123,954,0.0018943760000000001
124,952,0.002891612
125,950,0.004579123
126,948,0.006467088
127,946,0.007936765
128,944,0.008487861999999999
129,942,0.007912455
130,940,0.006423529
131,938,0.004632821
132,936,0.003330825
133,934,0.0030596959999999998
134,932,0.003735366
135,930,0.0047281070000000005
136,928,0.005145778
137,926,0.004198229
138,924,0.001538136
139,922,-0.00254054
140,920,-0.00710298
141,918,-0.010878813000000001
142,916,-0.01266526
143,914,-0.011655638000000001
144,912,-0.007902089000000001
145,910,-0.002535986
146,908,0.0026511670000000003
147,906,0.006064993
148,904,0.007032498000000001
149,902,0.005950145
150,900,0.004018625
