,Wavenumber,IR_KP48A
0,1200,0.003186642
1,1198,0.004281634
2,1196,0.005256146999999999
3,1194,0.005975571999999999
4,1192,0.006491014
5,1190,0.006859085
6,1188,0.007157156
7,1186,0.007446053
8,1184,0.00751001
9,1182,0.007123193000000001
10,1180,0.005975999
11,1178,0.0040607970000000005
12,1176,0.0018788079999999998
13,1174,0.000130237
14,1172,-0.0007279060000000001
15,1170,-0.000746485
16,1168,-0.000374838
17,1166,-0.00015669299999999999
18,1164,-0.0006169330000000001
19,1162,-0.001807961
20,1160,-0.003332142
21,1158,-0.004640063
22,1156,-0.0053508259999999995
23,1154,-0.005276787
24,1152,-0.004349683
25,1150,-0.0026955940000000004
26,1148,-0.0006108590000000001
27,1146,0.001539539
28,1144,0.003348424
29,1142,0.004596435
30,1140,0.005229263
31,1138,0.005341569
32,1136,0.005046449000000001
33,1134,0.00427226
34,1132,0.003039016
35,1130,0.00149766
36,1128,-0.000253483
37,1126,-0.002001942
38,1124,-0.0033555020000000002
39,1122,-0.003963417
40,1120,-0.003548586
41,1118,-0.00202621
42,1116,0.0005380280000000001
43,1114,0.003588197
44,1112,0.006129091999999999
45,1110,0.007288006999999999
46,1108,0.0067251130000000004
47,1106,0.00471104
48,1104,0.002389406
49,1102,0.001109917
50,1100,0.001907845
51,1098,0.004539456
52,1096,0.007342833000000001
53,1094,0.008250981
54,1092,0.006101967
55,1090,0.000995142
56,1088,-0.0057409309999999995
57,1086,-0.012284008999999999
58,1084,-0.016764385
59,1082,-0.018363664
60,1080,-0.017453099
61,1078,-0.014704627
62,1076,-0.010414576
63,1074,-0.005903069
64,1072,-0.002769647
65,1070,-0.001057459
66,1068,0.000152344
67,1066,0.001186362
68,1064,0.0017982760000000001
69,1062,0.002199284
70,1060,0.0027088459999999996
71,1058,0.002417073
72,1056,0.001219017
73,1054,0.000195429
74,1052,-0.00026278099999999996
75,1050,-0.0007286310000000001
76,1048,-0.0016144129999999999
77,1046,-0.002515147
78,1044,-0.003227033
79,1042,-0.0037355920000000003
80,1040,-0.0035712829999999997
81,1038,-0.0027053209999999997
82,1036,-0.0016414729999999998
83,1034,-0.0016544139999999999
84,1032,-0.0029719620000000003
85,1030,-0.004922355
86,1028,-0.007127122
87,1026,-0.009114726
88,1024,-0.010390456
89,1022,-0.010798948000000001
90,1020,-0.010520337
91,1018,-0.009864236
92,1016,-0.007987391
93,1014,-0.004377457
94,1012,0.000401253
95,1010,0.005519833000000001
96,1008,0.010134913
97,1006,0.013341425
98,1004,0.014327648
99,1002,0.012811275
100,1000,0.009288822
101,998,0.004794028
102,996,0.000642705
103,994,-0.0018345360000000001
104,992,-0.001973515
105,990,-0.00013817700000000002
106,988,0.0026657940000000004
107,986,0.005321634
108,984,0.006909673000000001
109,982,0.006920164
110,980,0.005425106
111,978,0.0030595329999999997
112,976,0.00043833
113,974,-0.0021855620000000003
114,972,-0.004505953
115,970,-0.00625515
116,968,-0.007288202
117,966,-0.007434217
118,964,-0.006553811
119,962,-0.004540823
120,960,-0.001792618
121,958,0.001071793
122,956,0.003708762
123,954,0.005754268000000001
124,952,0.006963759
125,950,0.007398345
126,948,0.007258749
127,946,0.006721564
128,944,0.005804204
129,942,0.004606731
130,940,0.003371182
131,938,0.002250643
132,936,0.0013794220000000002
133,934,0.0010693880000000001
134,932,0.0014416020000000002
135,930,0.002023866
136,928,0.002253185
137,926,0.0017644260000000001
138,924,0.000269193
139,922,-0.002139588
140,920,-0.004786417
141,918,-0.0067040630000000006
142,916,-0.0071296630000000005
143,914,-0.00591004
144,912,-0.0033761859999999998
145,910,-0.000358663
146,908,0.002073042
147,906,0.003355641
148,904,0.0034710879999999998
149,902,0.0027154090000000002
150,900,0.001712885
