,Wavenumber,10F53
0,1200,0.0033972459999999996
1,1198,0.004819421
2,1196,0.006096870999999999
3,1194,0.007122343000000001
4,1192,0.007904169
5,1190,0.00853748
6,1188,0.009072794
7,1186,0.009454201
8,1184,0.00944633
9,1182,0.008721229
10,1180,0.006961889000000001
11,1178,0.004255322
12,1176,0.0012379210000000001
13,1174,-0.001167901
14,1172,-0.0023330720000000003
15,1170,-0.00221325
16,1168,-0.001352839
17,1166,-0.00061488
18,1164,-0.000720666
19,1162,-0.001817635
20,1160,-0.003435545
21,1158,-0.004905764
22,1156,-0.0056904009999999994
23,1154,-0.0055076940000000005
24,1152,-0.004300223
25,1150,-0.002270046
26,1148,0.000224125
27,1146,0.002715579
28,1144,0.004805565
29,1142,0.006184866999999999
30,1140,0.006746864
31,1138,0.006481974000000001
32,1136,0.0055634230000000005
33,1134,0.004236568
34,1132,0.002851909
35,1130,0.0016325029999999998
36,1128,0.000680497
37,1126,-0.000154985
38,1124,-0.000983432
39,1122,-0.0018052670000000002
40,1120,-0.002238525
41,1118,-0.001891806
42,1116,-0.00045305300000000003
43,1114,0.0017851079999999999
44,1112,0.004149195
45,1110,0.00570368
46,1108,0.0060140459999999995
47,1106,0.005151568
48,1104,0.0039225779999999995
49,1102,0.0032720059999999996
50,1100,0.00407992
51,1098,0.006125823000000001
52,1096,0.008350851
53,1094,0.00900207
54,1092,0.006985412
55,1090,0.001981509
56,1088,-0.004912233
57,1086,-0.012080235
58,1084,-0.017635491
59,1082,-0.020696217
60,1080,-0.020942517
61,1078,-0.019050593
62,1076,-0.015557866000000002
63,1074,-0.011211462
64,1072,-0.006242168
65,1070,-0.00114704
66,1068,0.003718344
67,1066,0.007518347
68,1064,0.009869041
69,1062,0.010293309
70,1060,0.009140203000000001
71,1058,0.006833143000000001
72,1056,0.004489698
73,1054,0.0027409879999999998
74,1052,0.0019296060000000002
75,1050,0.001454062
76,1048,0.0008792860000000001
77,1046,-0.00041810400000000003
78,1044,-0.002403581
79,1042,-0.005116253
80,1040,-0.00802406
81,1038,-0.011142725
82,1036,-0.014249162
83,1034,-0.017284928
84,1032,-0.019478955
85,1030,-0.020332085
86,1028,-0.019245083
87,1026,-0.016426966
88,1024,-0.012350928999999998
89,1022,-0.008104218
90,1020,-0.004253057
91,1018,-0.001141112
92,1016,0.001527299
93,1014,0.0039290309999999995
94,1012,0.006400441999999999
95,1010,0.008718338
96,1008,0.010596877
97,1006,0.01156206
98,1004,0.011319538
99,1002,0.009617291
100,1000,0.00678997
101,998,0.003509308
102,996,0.0007386960000000001
103,994,-0.00079428
104,992,-0.000511728
105,990,0.001566018
106,988,0.004750624
107,986,0.007842006
108,984,0.009777249
109,982,0.009868179
110,980,0.008061747
111,978,0.004804732
112,976,0.0009188180000000001
113,974,-0.0028576709999999996
114,972,-0.005937601999999999
115,970,-0.00798959
116,968,-0.008819779
117,966,-0.008397166
118,964,-0.006835543
119,962,-0.004390624
120,960,-0.0013704379999999999
121,958,0.001796875
122,956,0.004671279
123,954,0.006844947
124,952,0.008045378
125,950,0.00823862
126,948,0.007583473
127,946,0.006362353
128,944,0.004853465
129,942,0.0032280629999999998
130,940,0.001613689
131,938,0.00023819799999999999
132,936,-0.000573055
133,934,-0.000489595
134,932,0.000588348
135,930,0.0023614820000000003
136,928,0.004074445
137,926,0.0048040059999999996
138,924,0.003857899
139,922,0.001101709
140,920,-0.0028608059999999996
141,918,-0.006780905
142,916,-0.009269638
143,914,-0.00944516
144,912,-0.007297305
145,910,-0.003597416
146,908,0.00042831699999999994
147,906,0.003632808
148,904,0.00536688
149,902,0.005669395
150,900,0.00509498
