,Wavenumber,H2349
0,1200,0.0028996409999999997
1,1198,0.00422718
2,1196,0.005393315
3,1194,0.00632432
4,1192,0.007131649
5,1190,0.007845755
6,1188,0.008232403000000001
7,1186,0.008210579
8,1184,0.007838378
9,1182,0.00684483
10,1180,0.004788366
11,1178,0.002058675
12,1176,-0.000561174
13,1174,-0.002354476
14,1172,-0.002902287
15,1170,-0.0022187829999999998
16,1168,-0.000847275
17,1166,0.000218672
18,1164,0.00012690799999999999
19,1162,-0.000920538
20,1160,-0.002493833
21,1158,-0.003809995
22,1156,-0.004265540999999999
23,1154,-0.003768508
24,1152,-0.002573155
25,1150,-0.00088517
26,1148,0.00102762
27,1146,0.002999605
28,1144,0.004713325
29,1142,0.005776836
30,1140,0.005792275
31,1138,0.004742525
32,1136,0.0031054629999999997
33,1134,0.00148616
34,1132,0.00040512199999999995
35,1130,9.594e-05
36,1128,0.00031131400000000004
37,1126,0.000322917
38,1124,-0.00022827
39,1122,-0.00106691
40,1120,-0.0016234210000000001
41,1118,-0.001498681
42,1116,-0.000430301
43,1114,0.001417224
44,1112,0.003119716
45,1110,0.004001545
46,1108,0.003772068
47,1106,0.00259736
48,1104,0.00124376
49,1102,0.00051807
50,1100,0.001111412
51,1098,0.0030228629999999998
52,1096,0.004917093
53,1094,0.0054012619999999996
54,1092,0.00339337
55,1090,-0.001038934
56,1088,-0.006901043000000001
57,1086,-0.012779736000000002
58,1084,-0.016820428999999998
59,1082,-0.018302024
60,1080,-0.017445177
61,1078,-0.015133393
62,1076,-0.012329194
63,1074,-0.008756168
64,1072,-0.003805197
65,1070,0.0018637060000000001
66,1068,0.006792301999999999
67,1066,0.009568326
68,1064,0.010364638
69,1062,0.009144903000000001
70,1060,0.00617765
71,1058,0.003218494
72,1056,0.0016739139999999999
73,1054,0.001148182
74,1052,0.001195918
75,1050,0.001341505
76,1048,0.001383624
77,1046,0.00074817
78,1044,-0.000866948
79,1042,-0.003134278
80,1040,-0.005881172
81,1038,-0.008984566
82,1036,-0.012309042
83,1034,-0.014891089
84,1032,-0.015782393999999998
85,1030,-0.014660578999999998
86,1028,-0.011451555
87,1026,-0.007015109
88,1024,-0.002904767
89,1022,-6.3783e-05
90,1020,0.001258006
91,1018,0.002259706
92,1016,0.003217882
93,1014,0.0040007129999999995
94,1012,0.0050657440000000005
95,1010,0.006552107
96,1008,0.007855311
97,1006,0.008367155
98,1004,0.007911126999999999
99,1002,0.006632892
100,1000,0.004499594
101,998,0.001744151
102,996,-0.000731799
103,994,-0.001857278
104,992,-0.001611431
105,990,-0.000368734
106,988,0.001694164
107,986,0.004085855
108,984,0.005900434
109,982,0.0062250759999999995
110,980,0.005002519
111,978,0.002871588
112,976,0.000354106
113,974,-0.002061849
114,972,-0.004025568
115,970,-0.005098893
116,968,-0.005190295
117,966,-0.004685585999999999
118,964,-0.00376261
119,962,-0.002172733
120,960,-0.00011559700000000001
121,958,0.001933925
122,956,0.0036072990000000004
123,954,0.004930269
124,952,0.00574572
125,950,0.005797396
126,948,0.005154785
127,946,0.004286757
128,944,0.00320248
129,942,0.002177591
130,940,0.001147364
131,938,0.00021768599999999998
132,936,-0.00039579599999999996
133,934,-0.000440429
134,932,0.000414641
135,930,0.0019108870000000002
136,928,0.0031596659999999998
137,926,0.0036144040000000003
138,924,0.002552115
139,922,0.000151565
140,920,-0.002881755
141,918,-0.005629517
142,916,-0.007136443
143,914,-0.006899639
144,912,-0.005420901999999999
145,910,-0.0032240159999999997
146,908,-0.000649699
147,906,0.001570834
148,904,0.002906275
149,902,0.003545597
150,900,0.0038465879999999997
