,Wavenumber,08Z37
0,1200,0.003036788
1,1198,0.004552164
2,1196,0.005944418000000001
3,1194,0.007113756
4,1192,0.008061414
5,1190,0.008838045
6,1188,0.009484313000000001
7,1186,0.009947591
8,1184,0.00995861
9,1182,0.009155018000000001
10,1180,0.007275431
11,1178,0.004514726
12,1176,0.001562929
13,1174,-0.0006474990000000001
14,1172,-0.0015121120000000001
15,1170,-0.001112723
16,1168,-0.00017293599999999997
17,1166,0.000306805
18,1164,-0.000383729
19,1162,-0.002289383
20,1160,-0.004771102
21,1158,-0.006942203
22,1156,-0.008062391
23,1154,-0.007810815
24,1152,-0.0061947109999999994
25,1150,-0.003569707
26,1148,-0.000435605
27,1146,0.002605718
28,1144,0.005093749
29,1142,0.006712039
30,1140,0.007361891999999999
31,1138,0.007035542
32,1136,0.005997078
33,1134,0.004542505
34,1132,0.0030708309999999996
35,1130,0.001810516
36,1128,0.0008327160000000001
37,1126,-4.4235e-05
38,1124,-0.000911712
39,1122,-0.001756535
40,1120,-0.002143619
41,1118,-0.0016972970000000002
42,1116,-0.000170223
43,1114,0.002063151
44,1112,0.004267618
45,1110,0.005520409
46,1108,0.00547905
47,1106,0.004341245
48,1104,0.003104187
49,1102,0.002772244
50,1100,0.004172159
51,1098,0.006920999999999999
52,1096,0.009763923
53,1094,0.010824627
54,1092,0.00893638
55,1090,0.003574636
56,1088,-0.004036911
57,1086,-0.012291748
58,1084,-0.019316935
59,1082,-0.024007017999999998
60,1080,-0.025558407999999998
61,1078,-0.024074037000000003
62,1076,-0.019826451999999998
63,1074,-0.013794553999999999
64,1072,-0.006410366
65,1070,0.001063682
66,1068,0.007600943000000001
67,1066,0.012143477
68,1064,0.014426557
69,1062,0.01428696
70,1060,0.012391021
71,1058,0.009396642
72,1056,0.006580945
73,1054,0.0043966709999999996
74,1052,0.003038491
75,1050,0.001823099
76,1048,0.000356724
77,1046,-0.001913733
78,1044,-0.004765296
79,1042,-0.008057884
80,1040,-0.011203902
81,1038,-0.014362156000000001
82,1036,-0.017401721000000002
83,1034,-0.020344993999999998
84,1032,-0.022445642999999998
85,1030,-0.023216367999999998
86,1028,-0.021935224
87,1026,-0.018765283
88,1024,-0.014196907
89,1022,-0.009406976
90,1020,-0.004958479
91,1018,-0.0011555180000000001
92,1016,0.002283916
93,1014,0.005462954
94,1012,0.008595341
95,1010,0.011252655
96,1008,0.013016337
97,1006,0.013377533
98,1004,0.012216535
99,1002,0.009566257
100,1000,0.005970113000000001
101,998,0.0022303170000000003
102,996,-0.00066935
103,994,-0.002056034
104,992,-0.001451254
105,990,0.001000414
106,988,0.004551113
107,986,0.007975428
108,984,0.01016935
109,982,0.010411186999999999
110,980,0.008686847
111,978,0.005526139
112,976,0.0018002720000000001
113,974,-0.001697896
114,972,-0.004401202
115,970,-0.006058119
116,968,-0.006588610999999999
117,966,-0.006047243000000001
118,964,-0.004538869
119,962,-0.002292283
120,960,0.00038869800000000004
121,958,0.003125998
122,956,0.005519181999999999
123,954,0.007216815
124,952,0.007990885
125,950,0.007779329000000001
126,948,0.006752534
127,946,0.005222414
128,944,0.0034958520000000002
129,942,0.001817961
130,940,0.00036067699999999995
131,938,-0.000682401
132,936,-0.001093046
133,934,-0.000677636
134,932,0.000580704
135,930,0.002362734
136,928,0.003949116
137,926,0.004501967
138,924,0.0033941390000000004
139,922,0.000587545
140,920,-0.003238236
141,918,-0.006885949000000001
142,916,-0.009132275
143,914,-0.009170589
144,912,-0.007014473
145,910,-0.00345928
146,908,0.00033851
147,906,0.0033515190000000003
148,904,0.005017889
149,902,0.005377137
150,900,0.004895219
