,Wavenumber,10D60
0,1200,0.003644616
1,1198,0.005044398
2,1196,0.006279055
3,1194,0.0072305569999999994
4,1192,0.007940128000000001
5,1190,0.008524206999999999
6,1188,0.008998878
7,1186,0.009318392
8,1184,0.009251758
9,1182,0.008457245
10,1180,0.0066261359999999995
11,1178,0.0038498509999999996
12,1176,0.000771605
13,1174,-0.001655019
14,1172,-0.0028051720000000003
15,1170,-0.0026233040000000003
16,1168,-0.0016492770000000002
17,1166,-0.0007626919999999999
18,1164,-0.0006935919999999999
19,1162,-0.001590193
20,1160,-0.003012107
21,1158,-0.00431396
22,1156,-0.005004713
23,1154,-0.00480825
24,1152,-0.003655593
25,1150,-0.001744039
26,1148,0.000590856
27,1146,0.002903742
28,1144,0.00483519
29,1142,0.006103455
30,1140,0.006585444
31,1138,0.006297936
32,1136,0.005426695
33,1134,0.004197085
34,1132,0.0029061390000000003
35,1130,0.0017372210000000002
36,1128,0.000801203
37,1126,-6.1358e-05
38,1124,-0.000975761
39,1122,-0.001910958
40,1120,-0.0024316
41,1118,-0.002095803
42,1116,-0.0006151490000000001
43,1114,0.001699099
44,1112,0.004158882
45,1110,0.005809033000000001
46,1108,0.0061605290000000005
47,1106,0.005266189
48,1104,0.0040042
49,1102,0.0033256640000000003
50,1100,0.004067220999999999
51,1098,0.005978548
52,1096,0.007948489
53,1094,0.008211481
54,1092,0.005711725
55,1090,0.000250136
56,1088,-0.0068871719999999996
57,1086,-0.01397944
58,1084,-0.019094755
59,1082,-0.021398501
60,1080,-0.020794353
61,1078,-0.018127263
62,1076,-0.01409883
63,1074,-0.009547064000000001
64,1072,-0.004676726
65,1070,5.6412e-05
66,1068,0.0043546340000000005
67,1066,0.007487571
68,1064,0.009187701999999999
69,1062,0.009164696
70,1060,0.007793962
71,1058,0.005497425
72,1056,0.003320542
73,1054,0.0017398160000000001
74,1052,0.000911648
75,1050,0.000252962
76,1048,-0.00053505
77,1046,-0.001930069
78,1044,-0.00384827
79,1042,-0.006295265
80,1040,-0.008800804
81,1038,-0.011400973
82,1036,-0.01392004
83,1034,-0.016222861
84,1032,-0.017572761
85,1030,-0.017564383
86,1028,-0.015772035
87,1026,-0.012542158999999999
88,1024,-0.008439858
89,1022,-0.004475972
90,1020,-0.001174987
91,1018,0.00129448
92,1016,0.003287933
93,1014,0.005042023
94,1012,0.006931385
95,1010,0.008803298000000001
96,1008,0.010366493000000001
97,1006,0.011162243
98,1004,0.010843469
99,1002,0.009154937
100,1000,0.006326401
101,998,0.003003057
102,996,0.000148502
103,994,-0.001486428
104,992,-0.0013402260000000001
105,990,0.000603397
106,988,0.003682215
107,986,0.0067649
108,984,0.008802819
109,982,0.00910575
110,980,0.007589441999999999
111,978,0.004651037
112,976,0.001027442
113,974,-0.0025674
114,972,-0.005584107
115,970,-0.007653908
116,968,-0.008570076999999999
117,966,-0.008300953
118,964,-0.006879486999999999
119,962,-0.004521602
120,960,-0.00159295
121,958,0.0014585989999999999
122,956,0.004183455
123,954,0.006251456
124,952,0.007432511
125,950,0.007657481999999999
126,948,0.007110854000000001
127,946,0.006042625
128,944,0.0046562209999999995
129,942,0.0031445059999999996
130,940,0.0016601089999999999
131,938,0.00043197
132,936,-0.000263363
133,934,-0.00015330200000000002
134,932,0.000856478
135,930,0.002487752
136,928,0.004021939
137,926,0.004598593
138,924,0.003572985
139,922,0.0008434139999999999
140,920,-0.002974778
141,918,-0.006725302
142,916,-0.009116948
143,914,-0.009271035
144,912,-0.00717588
145,910,-0.0035862259999999997
146,908,0.000335367
147,906,0.0035017029999999997
148,904,0.005279318000000001
149,902,0.0056716530000000005
150,900,0.005174153
