,Wavenumber,M15
0,1200,0.004205146
1,1198,0.005486736999999999
2,1196,0.00643099
3,1194,0.007111061
4,1192,0.0074676709999999995
5,1190,0.007625164
6,1188,0.007878847
7,1186,0.00816866
8,1184,0.007960109
9,1182,0.006989316
10,1180,0.005053553
11,1178,0.0022590379999999997
12,1176,-0.0009428110000000001
13,1174,-0.0035457220000000003
14,1172,-0.004765059
15,1170,-0.004645579
16,1168,-0.003753868
17,1166,-0.002445617
18,1164,-0.001313607
19,1162,-0.000729363
20,1160,-0.000685685
21,1158,-0.000882913
22,1156,-0.001111166
23,1154,-0.0011217010000000001
24,1152,-0.0007329939999999999
25,1150,0.000323462
26,1148,0.001926774
27,1146,0.003668194
28,1144,0.005156519
29,1142,0.006149563
30,1140,0.006405664
31,1138,0.005809444
32,1136,0.004329676
33,1134,0.002150743
34,1132,-0.000416898
35,1130,-0.002841029
36,1128,-0.00450476
37,1126,-0.0050796470000000005
38,1124,-0.004612705999999999
39,1122,-0.0032777440000000004
40,1120,-0.001345984
41,1118,0.0009567569999999999
42,1116,0.0033210709999999997
43,1114,0.005332025
44,1112,0.006484357
45,1110,0.0063694680000000005
46,1108,0.005100166
47,1106,0.0032586309999999997
48,1104,0.001706859
49,1102,0.0012132619999999999
50,1100,0.002027314
51,1098,0.0038024120000000002
52,1096,0.005507205
53,1094,0.005964274
54,1092,0.004570523
55,1090,0.0014168070000000002
56,1088,-0.002692429
57,1086,-0.0068523690000000005
58,1084,-0.010110314
59,1082,-0.011883666999999999
60,1080,-0.012273466
61,1078,-0.01161891
62,1076,-0.010217408
63,1074,-0.008539751
64,1072,-0.007005593
65,1070,-0.0058708169999999995
66,1068,-0.005085234
67,1066,-0.004824847
68,1064,-0.005164047
69,1062,-0.005639562
70,1060,-0.005554430999999999
71,1058,-0.004539159
72,1056,-0.002293596
73,1054,0.001114872
74,1052,0.004871547
75,1050,0.007653063000000001
76,1048,0.008555408
77,1046,0.007342992
78,1044,0.004312006
79,1042,0.000261077
80,1040,-0.003546531
81,1038,-0.006308895
82,1036,-0.007955655
83,1034,-0.008881507
84,1032,-0.009501163
85,1030,-0.010051915
86,1028,-0.010501878999999999
87,1026,-0.010359135
88,1024,-0.008963536
89,1022,-0.00612738
90,1020,-0.002290469
91,1018,0.001729509
92,1016,0.005073015
93,1014,0.00722044
94,1012,0.007968550999999999
95,1010,0.007625366
96,1008,0.006824072
97,1006,0.006101979
98,1004,0.005426119
99,1002,0.0044870940000000005
100,1000,0.0031016840000000004
101,998,0.001511264
102,996,4.955e-05
103,994,-0.00077984
104,992,-0.0005305759999999999
105,990,0.0008667319999999999
106,988,0.002916551
107,986,0.004956703
108,984,0.00628848
109,982,0.006584685
110,980,0.005715874
111,978,0.0039310709999999995
112,976,0.001627086
113,974,-0.0007891739999999999
114,972,-0.003017904
115,970,-0.004747572
116,968,-0.005802666
117,966,-0.006004056999999999
118,964,-0.005428367
119,962,-0.004082555999999999
120,960,-0.002169398
121,958,2.3559e-05
122,956,0.002109163
123,954,0.003839552
124,952,0.004993157
125,950,0.0055000809999999995
126,948,0.0054109019999999996
127,946,0.004974869
128,944,0.004202067
129,942,0.0031682670000000002
130,940,0.0018562729999999999
131,938,0.00048253699999999995
132,936,-0.000626934
133,934,-0.001064525
134,932,-0.000695478
135,930,0.00039980800000000003
136,928,0.001657454
137,926,0.002462493
138,924,0.002233793
139,922,0.000977124
140,920,-0.000822276
141,918,-0.002463729
142,916,-0.00342478
143,914,-0.0032963190000000002
144,912,-0.002285834
145,910,-0.0007591239999999999
146,908,0.000725536
147,906,0.001808526
148,904,0.002312295
149,902,0.002299288
150,900,0.001901137
