,Wavenumber,K255
0,1200,0.004200204
1,1198,0.005699178
2,1196,0.006879962
3,1194,0.007689367
4,1192,0.008176809
5,1190,0.00845052
6,1188,0.008601095
7,1186,0.008649636
8,1184,0.008348811
9,1182,0.007458978000000001
10,1180,0.005634348000000001
11,1178,0.002899687
12,1176,-0.00026304299999999997
13,1174,-0.003002876
14,1172,-0.00460173
15,1170,-0.0048126670000000005
16,1168,-0.003935666
17,1166,-0.002532881
18,1164,-0.001314509
19,1162,-0.0006731739999999999
20,1160,-0.000608618
21,1158,-0.0008366010000000001
22,1156,-0.001086661
23,1154,-0.001132582
24,1152,-0.000798465
25,1150,7.695899999999999e-05
26,1148,0.0015082239999999998
27,1146,0.003253556
28,1144,0.004907015
29,1142,0.006156954
30,1140,0.006703814000000001
31,1138,0.006288664
32,1136,0.004841452
33,1134,0.002572552
34,1132,-9.431799999999999e-05
35,1130,-0.002601387
36,1128,-0.004414831
37,1126,-0.005159631
38,1124,-0.0047989040000000005
39,1122,-0.003536625
40,1120,-0.0015803629999999998
41,1118,0.000778686
42,1116,0.003260547
43,1114,0.005437738
44,1112,0.006737445999999999
45,1110,0.006791845
46,1108,0.005642419
47,1106,0.0037761009999999996
48,1104,0.0020779460000000002
49,1102,0.0013495710000000001
50,1100,0.002055408
51,1098,0.003845017
52,1096,0.005684159
53,1094,0.0063971
54,1092,0.005308753
55,1090,0.002383124
56,1088,-0.001652992
57,1086,-0.00584114
58,1084,-0.009212805
59,1082,-0.011259018
60,1080,-0.011934756000000001
61,1078,-0.011593966
62,1076,-0.010495976
63,1074,-0.009037453
64,1072,-0.007501176
65,1070,-0.006259809
66,1068,-0.005539891
67,1066,-0.005509129000000001
68,1064,-0.006036382
69,1062,-0.006800533
70,1060,-0.0070400869999999996
71,1058,-0.006153547
72,1056,-0.0037032690000000004
73,1054,7.6524e-05
74,1052,0.004350813
75,1050,0.007830585
76,1048,0.009421391
77,1046,0.008527146
78,1044,0.005482781999999999
79,1042,0.001136024
80,1040,-0.003199943
81,1038,-0.006637585
82,1036,-0.00885739
83,1034,-0.010125308000000001
84,1032,-0.010840105
85,1030,-0.011426453999999999
86,1028,-0.011922002
87,1026,-0.011959665
88,1024,-0.010824586
89,1022,-0.008179224
90,1020,-0.004194626
91,1018,0.000364358
92,1016,0.004498286
93,1014,0.007306691999999999
94,1012,0.008515766999999999
95,1010,0.008490305
96,1008,0.007931242
97,1006,0.007336789
98,1004,0.0067011959999999995
99,1002,0.005685376
100,1000,0.004044365
101,998,0.001938842
102,996,-5.0563000000000004e-05
103,994,-0.001236731
104,992,-0.001128787
105,990,0.000306588
106,988,0.00257507
107,986,0.004968554
108,984,0.006648897
109,982,0.007086968000000001
110,980,0.006213038000000001
111,978,0.004264208
112,976,0.00165144
113,974,-0.001080665
114,972,-0.003510011
115,970,-0.005330461999999999
116,968,-0.006437028000000001
117,966,-0.006708632
118,964,-0.00608548
119,962,-0.004644982
120,960,-0.002549402
121,958,-2.7241999999999998e-05
122,956,0.002427886
123,954,0.004441093
124,952,0.005796964
125,950,0.006480633
126,948,0.006547982
127,946,0.006121154
128,944,0.005276456
129,942,0.004038263
130,940,0.002423241
131,938,0.0007396130000000001
132,936,-0.000575129
133,934,-0.001039218
134,932,-0.00052379
135,930,0.000713777
136,928,0.0020517079999999997
137,926,0.002810377
138,924,0.00249931
139,922,0.001111352
140,920,-0.000913191
141,918,-0.002794436
142,916,-0.003952353
143,914,-0.004070536
144,912,-0.003134258
145,910,-0.001431838
146,908,0.00040142300000000004
147,906,0.001865215
148,904,0.002645335
149,902,0.002772036
150,900,0.0024401920000000003
