,Wavenumber,IR_KP64
0,1200,0.004037615
1,1198,0.005049034
2,1196,0.00588286
3,1194,0.006519354000000001
4,1192,0.007000453
5,1190,0.007332297
6,1188,0.007535313
7,1186,0.007625935
8,1184,0.00747709
9,1182,0.006751918000000001
10,1180,0.0051540909999999995
11,1178,0.002626803
12,1176,-0.00037339800000000005
13,1174,-0.003029434
14,1172,-0.0046566920000000005
15,1170,-0.004976031
16,1168,-0.004166014
17,1166,-0.002844952
18,1164,-0.001607823
19,1162,-0.000867833
20,1160,-0.000712908
21,1158,-0.000908148
22,1156,-0.001178875
23,1154,-0.001262865
24,1152,-0.0009049819999999999
25,1150,-8.851e-05
26,1148,0.0012017310000000002
27,1146,0.002748897
28,1144,0.00420668
29,1142,0.005353381999999999
30,1140,0.005954354
31,1138,0.00576538
32,1136,0.004664168
33,1134,0.0026930459999999997
34,1132,0.000311046
35,1130,-0.001870614
36,1128,-0.00331787
37,1126,-0.0037436009999999996
38,1124,-0.003105319
39,1122,-0.0017007020000000001
40,1120,0.00019010400000000002
41,1118,0.002249311
42,1116,0.004219023
43,1114,0.005790679
44,1112,0.0064256140000000005
45,1110,0.005707435
46,1108,0.003933153
47,1106,0.001691915
48,1104,-0.00011198700000000001
49,1102,-0.000810987
50,1100,5.3646e-05
51,1098,0.002129398
52,1096,0.004126837
53,1094,0.00494598
54,1092,0.004262526
55,1090,0.0019176170000000001
56,1088,-0.001438251
57,1086,-0.005139207
58,1084,-0.008324628
59,1082,-0.010508697
60,1080,-0.011666257
61,1078,-0.011619023999999999
62,1076,-0.009709615
63,1074,-0.007315088000000001
64,1072,-0.006332885999999999
65,1070,-0.006447847
66,1068,-0.006285402
67,1066,-0.0055718
68,1064,-0.005072155
69,1062,-0.0047290959999999995
70,1060,-0.003735798
71,1058,-0.00322074
72,1056,-0.0031573829999999997
73,1054,-0.001559806
74,1052,0.00176442
75,1050,0.004952622
76,1048,0.006472767
77,1046,0.006201438
78,1044,0.00410721
79,1042,0.00045818300000000003
80,1040,-0.003158614
81,1038,-0.005565448000000001
82,1036,-0.006514003000000001
83,1034,-0.007351491999999999
84,1032,-0.008195893000000001
85,1030,-0.008889926999999999
86,1028,-0.009730158000000001
87,1026,-0.009991903
88,1024,-0.008688294000000001
89,1022,-0.0058775469999999995
90,1020,-0.0022065929999999997
91,1018,0.0009298589999999999
92,1016,0.0034672279999999997
93,1014,0.005232319
94,1012,0.005866221
95,1010,0.005626125
96,1008,0.005098481
97,1006,0.0046251140000000005
98,1004,0.004490676
99,1002,0.004386516
100,1000,0.003927183
101,998,0.0031827540000000003
102,996,0.0024610929999999997
103,994,0.002091491
104,992,0.002430406
105,990,0.003438019
106,988,0.004767527
107,986,0.00579388
108,984,0.006062815
109,982,0.005471946
110,980,0.004124199
111,978,0.0022995
112,976,0.00037028699999999996
113,974,-0.00140424
114,972,-0.00290709
115,970,-0.004099261
116,968,-0.00492384
117,966,-0.005236571
118,964,-0.004942543
119,962,-0.004034789
120,960,-0.002603712
121,958,-0.000771439
122,956,0.001271636
123,954,0.003149635
124,952,0.004533281
125,950,0.005289844
126,948,0.005521874
127,946,0.005346544
128,944,0.004789662
129,942,0.00377718
130,940,0.002405564
131,938,0.000855478
132,936,-0.000493158
133,934,-0.001176464
134,932,-0.000979208
135,930,-0.000132379
136,928,0.000870832
137,926,0.001412435
138,924,0.0012599039999999998
139,922,0.000540064
140,920,-0.000378084
141,918,-0.001033303
142,916,-0.00128192
143,914,-0.001115968
144,912,-0.000511842
145,910,0.000313584
146,908,0.001002305
147,906,0.0014071939999999998
148,904,0.001540538
149,902,0.00132218
150,900,0.0007060769999999999
