,Wavenumber,M11
0,1200,0.004037705
1,1198,0.005420950999999999
2,1196,0.0065434790000000005
3,1194,0.007365765
4,1192,0.00781368
5,1190,0.008058184
6,1188,0.008252418000000001
7,1186,0.00841773
8,1184,0.008197686
9,1182,0.007374669
10,1180,0.005618044
11,1178,0.002976888
12,1176,-0.000109928
13,1174,-0.002674417
14,1172,-0.004023271
15,1170,-0.004006509
16,1168,-0.0030782459999999998
17,1166,-0.001764792
18,1164,-0.000781637
19,1162,-0.000463195
20,1160,-0.000792717
21,1158,-0.0014068370000000002
22,1156,-0.0020697660000000002
23,1154,-0.0023978470000000003
24,1152,-0.002182017
25,1150,-0.001211252
26,1148,0.000461114
27,1146,0.002545719
28,1144,0.004576498
29,1142,0.006218655
30,1140,0.007005689
31,1138,0.006789315
32,1136,0.005484749000000001
33,1134,0.003268155
34,1132,0.000529513
35,1130,-0.0020865470000000002
36,1128,-0.004026718
37,1126,-0.0048836520000000005
38,1124,-0.004686719000000001
39,1122,-0.003509472
40,1120,-0.00165359
41,1118,0.000622144
42,1116,0.002986923
43,1114,0.005030187
44,1112,0.006208135
45,1110,0.006249536
46,1108,0.005165197
47,1106,0.003468355
48,1104,0.0019387360000000001
49,1102,0.001439317
50,1100,0.002335354
51,1098,0.004317414
52,1096,0.006375718000000001
53,1094,0.0073279140000000005
54,1092,0.006293773000000001
55,1090,0.0031876290000000004
56,1088,-0.001376509
57,1086,-0.00633605
58,1084,-0.010570253
59,1082,-0.013276286000000002
60,1080,-0.014209433
61,1078,-0.01352268
62,1076,-0.011659138000000001
63,1074,-0.00915635
64,1072,-0.006599896
65,1070,-0.004536178
66,1068,-0.003341028
67,1066,-0.003137122
68,1064,-0.003757356
69,1062,-0.004701588
70,1060,-0.005298813
71,1058,-0.004882701
72,1056,-0.003081735
73,1054,-3.1537e-05
74,1052,0.0035382070000000002
75,1050,0.00657713
76,1048,0.008081579
77,1046,0.007488481999999999
78,1044,0.004899815
79,1042,0.0010867939999999999
80,1040,-0.0028969440000000003
81,1038,-0.006242959
82,1036,-0.008666465
83,1034,-0.010238115
84,1032,-0.011305042
85,1030,-0.01216444
86,1028,-0.012759341
87,1026,-0.012603872
88,1024,-0.011177051
89,1022,-0.008217085
90,1020,-0.004022859
91,1018,0.000732409
92,1016,0.0049627709999999995
93,1014,0.007858219
94,1012,0.009228146
95,1010,0.009440467
96,1008,0.008966284
97,1006,0.008258405
98,1004,0.007228638000000001
99,1002,0.005622399
100,1000,0.0031988840000000004
101,998,0.000397701
102,996,-0.002062843
103,994,-0.003439401
104,992,-0.0032908020000000002
105,990,-0.0014596960000000001
106,988,0.0014333570000000001
107,986,0.004511872
108,984,0.00686041
109,982,0.007979871
110,980,0.0075898269999999995
111,978,0.0058992969999999995
112,976,0.0033187209999999997
113,974,0.00046250400000000003
114,972,-0.0023065
115,970,-0.004513083
116,968,-0.005880291
117,966,-0.006216701
118,964,-0.005598023000000001
119,962,-0.004109951
120,960,-0.002053719
121,958,0.000285322
122,956,0.002468138
123,954,0.0042893440000000005
124,952,0.0054610380000000005
125,950,0.005985285
126,948,0.005884039000000001
127,946,0.005361559
128,944,0.00443859
129,942,0.003250105
130,940,0.0017931529999999998
131,938,0.000328814
132,936,-0.000819953
133,934,-0.001138222
134,932,-0.0005580219999999999
135,930,0.000698198
136,928,0.001952838
137,926,0.002663772
138,924,0.002272213
139,922,0.0008693969999999999
140,920,-0.001102765
141,918,-0.00287239
142,916,-0.0039202329999999995
143,914,-0.003837128
144,912,-0.002762911
145,910,-0.001045123
146,908,0.000665322
147,906,0.0020009620000000002
148,904,0.002629784
149,902,0.0026702790000000002
150,900,0.002250725
