,Wavenumber,M3
0,1200,0.0044554009999999995
1,1198,0.0057932090000000006
2,1196,0.006843445
3,1194,0.007581005
4,1192,0.008005482
5,1190,0.00818728
6,1188,0.008294835
7,1186,0.008388058
8,1184,0.008131099000000001
9,1182,0.007254214
10,1180,0.0054954240000000005
11,1178,0.002852683
12,1176,-0.000221587
13,1174,-0.002842363
14,1172,-0.004259029
15,1170,-0.004307212
16,1168,-0.003408397
17,1166,-0.00211299
18,1164,-0.001092432
19,1162,-0.000701201
20,1160,-0.00087555
21,1158,-0.00127704
22,1156,-0.0016313629999999998
23,1154,-0.001686583
24,1152,-0.0012545310000000001
25,1150,-0.00022543400000000002
26,1148,0.00134815
27,1146,0.003238497
28,1144,0.005042359000000001
29,1142,0.006397934
30,1140,0.00698772
31,1138,0.006600341
32,1136,0.005187342
33,1134,0.0029172079999999997
34,1132,0.000216075
35,1130,-0.002332077
36,1128,-0.004178841
37,1126,-0.005023873
38,1124,-0.004821792
39,1122,-0.0037146
40,1120,-0.0019144479999999998
41,1118,0.000360491
42,1116,0.002844738
43,1114,0.0050826379999999996
44,1112,0.006513636
45,1110,0.0067029509999999995
46,1108,0.005661519
47,1106,0.0038299090000000003
48,1104,0.002088396
49,1102,0.001324336
50,1100,0.0020385670000000002
51,1098,0.0038956570000000003
52,1096,0.005845611999999999
53,1094,0.006668296999999999
54,1092,0.005547135
55,1090,0.00231675
56,1088,-0.002206041
57,1086,-0.006895592
58,1084,-0.010573433
59,1082,-0.012682208
60,1080,-0.01319941
61,1078,-0.012465113
62,1076,-0.010846415
63,1074,-0.008922242
64,1072,-0.007053146
65,1070,-0.005553822
66,1068,-0.0045564920000000005
67,1066,-0.004293600000000001
68,1064,-0.0047362770000000005
69,1062,-0.005509701
70,1060,-0.0058395980000000005
71,1058,-0.005186211
72,1056,-0.0030775140000000004
73,1054,0.000361873
74,1052,0.004341269
75,1050,0.007531372
76,1048,0.008819331
77,1046,0.007739701999999999
78,1044,0.004700468
79,1042,0.000584585
80,1040,-0.003403003
81,1038,-0.006493653
82,1036,-0.008408864
83,1034,-0.009536151999999999
84,1032,-0.010340202
85,1030,-0.011141231000000001
86,1028,-0.01185442
87,1026,-0.012003773999999998
88,1024,-0.010854418000000001
89,1022,-0.00810483
90,1020,-0.003991167
91,1018,0.000648821
92,1016,0.004836846
93,1014,0.0077466209999999995
94,1012,0.009075711
95,1010,0.00909171
96,1008,0.008390241
97,1006,0.007475228
98,1004,0.006488702
99,1002,0.005190736
100,1000,0.0034053890000000004
101,998,0.001383887
102,996,-0.00035014199999999996
103,994,-0.0012169680000000001
104,992,-0.00080853
105,990,0.00089502
106,988,0.003322494
107,986,0.005671528
108,984,0.007173306
109,982,0.007423145999999999
110,980,0.006393136
111,978,0.004355955999999999
112,976,0.0017271839999999999
113,974,-0.001061497
114,972,-0.003642486
115,970,-0.005645066
116,968,-0.006869869
117,966,-0.007147748000000001
118,964,-0.006415118
119,962,-0.004777155999999999
120,960,-0.002513019
121,958,1.6788e-05
122,956,0.002387348
123,954,0.004362781
124,952,0.005727118000000001
125,950,0.006373975
126,948,0.006405878
127,946,0.005977321
128,944,0.005099378
129,942,0.003834005
130,940,0.002221171
131,938,0.0005552069999999999
132,936,-0.000779552
133,934,-0.0013198320000000002
134,932,-0.0008470519999999999
135,930,0.00044958199999999997
136,928,0.001923944
137,926,0.002820475
138,924,0.002553544
139,922,0.001087035
140,920,-0.00108484
141,918,-0.003133473
142,916,-0.004339493
143,914,-0.004265346
144,912,-0.003072947
145,910,-0.001198915
146,908,0.0007300130000000001
147,906,0.002198587
148,904,0.0029078040000000004
149,902,0.00295242
150,900,0.0025764
