,Wavenumber,H1162
0,1200,0.00369588
1,1198,0.0047520620000000005
2,1196,0.005864971
3,1194,0.006979908000000001
4,1192,0.008026408
5,1190,0.00897541
6,1188,0.009759436
7,1186,0.010222795
8,1184,0.01007371
9,1182,0.008951689
10,1180,0.006575956
11,1178,0.003103215
12,1176,-0.00071216
13,1174,-0.003703031
14,1172,-0.00494668
15,1170,-0.0042306309999999995
16,1168,-0.002108446
17,1166,0.00023475099999999998
18,1164,0.00150309
19,1162,0.00094476
20,1160,-0.00122982
21,1158,-0.004101244
22,1156,-0.006484086
23,1154,-0.007401043
24,1152,-0.006317495
25,1150,-0.003362806
26,1148,0.000801736
27,1146,0.005148092
28,1144,0.008713683
29,1142,0.010715068999999999
30,1140,0.010864715
31,1138,0.009231646999999999
32,1136,0.006264411
33,1134,0.002563227
34,1132,-0.001091821
35,1130,-0.004039217
36,1128,-0.0057361190000000005
37,1126,-0.006090272
38,1124,-0.005240825
39,1122,-0.0037151809999999997
40,1120,-0.002011727
41,1118,-0.00055503
42,1116,0.000735023
43,1114,0.00198708
44,1112,0.003392565
45,1110,0.0047635590000000005
46,1108,0.005956685
47,1106,0.00667783
48,1104,0.007087289
49,1102,0.007572349
50,1100,0.008822624
51,1098,0.01079471
52,1096,0.012758398999999998
53,1094,0.013033031
54,1092,0.010357124
55,1090,0.004077526
56,1088,-0.004824533
57,1086,-0.014546321999999999
58,1084,-0.022549156
59,1082,-0.027057662000000003
60,1080,-0.026987965
61,1078,-0.022855787000000002
62,1076,-0.015697135
63,1074,-0.007464795
64,1072,0.00019543900000000002
65,1070,0.005559414
66,1068,0.008082466
67,1066,0.007790856
68,1064,0.0060159869999999996
69,1062,0.003898235
70,1060,0.002502372
71,1058,0.001595555
72,1056,0.0009230410000000001
73,1054,-0.00019146700000000002
74,1052,-0.0016061379999999998
75,1050,-0.003241289
76,1048,-0.0042906609999999994
77,1046,-0.004655482
78,1044,-0.004544012
79,1042,-0.004971562
80,1040,-0.006245716
81,1038,-0.0088094
82,1036,-0.012260483999999999
83,1034,-0.016100896
84,1032,-0.019045247
85,1030,-0.020344337
86,1028,-0.019336849
87,1026,-0.016285009
88,1024,-0.011710318
89,1022,-0.006878629
90,1020,-0.002468513
91,1018,0.0012293830000000001
92,1016,0.004600669
93,1014,0.007847488
94,1012,0.011208701000000001
95,1010,0.014295212
96,1008,0.016716507
97,1006,0.017978955
98,1004,0.017940626
99,1002,0.016425464
100,1000,0.013565859
101,998,0.009582031
102,996,0.004951587
103,994,5.8911000000000006e-05
104,992,-0.004573811
105,990,-0.008590061
106,988,-0.011652003000000001
107,986,-0.013510732
108,984,-0.013653268
109,982,-0.011714321000000001
110,980,-0.007742868000000001
111,978,-0.002555962
112,976,0.0025412570000000003
113,974,0.006120968
114,972,0.007447414
115,970,0.006679236999999999
116,968,0.00482265
117,966,0.003041458
118,964,0.002105329
119,962,0.0022258160000000003
120,960,0.003157068
121,958,0.004367659
122,956,0.005387755
123,954,0.005932097
124,952,0.005934541
125,950,0.00546638
126,948,0.0047014959999999995
127,946,0.003896113
128,944,0.003151435
129,942,0.002349607
130,940,0.00135512
131,938,0.000271342
132,936,-0.00053209
133,934,-0.0005521769999999999
134,932,0.000557095
135,930,0.00266179
136,928,0.005044086
137,926,0.00659833
138,924,0.006257573000000001
139,922,0.0035652109999999996
140,920,-0.001011467
141,918,-0.00612422
142,916,-0.010019686
143,914,-0.011311013
144,912,-0.009645446
145,910,-0.005885212
146,908,-0.0015726470000000002
147,906,0.0018770689999999999
148,904,0.0037744009999999997
149,902,0.004299878
150,900,0.0041306120000000005
