,Wavenumber,K458
0,1200,0.0033924159999999997
1,1198,0.004465938
2,1196,0.005277304
3,1194,0.005800803
4,1192,0.005973176
5,1190,0.00592889
6,1188,0.006309271
7,1186,0.007010744
8,1184,0.007254923000000001
9,1182,0.006723710999999999
10,1180,0.005226792
11,1178,0.0029234720000000003
12,1176,0.00031233599999999997
13,1174,-0.0015750229999999998
14,1172,-0.00200375
15,1170,-0.0014470320000000002
16,1168,-0.000676678
17,1166,-3.5261999999999995e-05
18,1164,-2.35e-05
19,1162,-0.000825824
20,1160,-0.002167327
21,1158,-0.003471541
22,1156,-0.00440947
23,1154,-0.004633150999999999
24,1152,-0.00398189
25,1150,-0.002408246
26,1148,-0.000157377
27,1146,0.002229393
28,1144,0.004195722
29,1142,0.0055095330000000005
30,1140,0.006044593000000001
31,1138,0.005875943000000001
32,1136,0.005166754
33,1134,0.004022383
34,1132,0.002484045
35,1130,0.0007270110000000001
36,1128,-0.0009665289999999999
37,1126,-0.002361685
38,1124,-0.0033840890000000003
39,1122,-0.003882064
40,1120,-0.003646708
41,1118,-0.002574257
42,1116,-0.000652418
43,1114,0.001882335
44,1112,0.004286765
45,1110,0.00566579
46,1108,0.005488429
47,1106,0.004054573
48,1104,0.0023291839999999998
49,1102,0.001432492
50,1100,0.0020609639999999998
51,1098,0.0039943209999999995
52,1096,0.005888348000000001
53,1094,0.006056954
54,1092,0.003472092
55,1090,-0.001663315
56,1088,-0.00800012
57,1086,-0.013803105
58,1084,-0.017406177
59,1082,-0.017884811
60,1080,-0.015527348
61,1078,-0.011376342
62,1076,-0.006616469
63,1074,-0.002308209
64,1072,0.000979782
65,1070,0.0030327440000000004
66,1068,0.003959853
67,1066,0.003956141
68,1064,0.0032593979999999997
69,1062,0.002112433
70,1060,0.000815761
71,1058,-0.00033843199999999995
72,1056,-0.0010291710000000002
73,1054,-0.001269898
74,1052,-0.001260017
75,1050,-0.0012548260000000001
76,1048,-0.001334335
77,1046,-0.0014651170000000002
78,1044,-0.001480188
79,1042,-0.0012445639999999999
80,1040,-0.000789801
81,1038,-0.000547502
82,1036,-0.00094045
83,1034,-0.002066598
84,1032,-0.0036507379999999997
85,1030,-0.0052385470000000005
86,1028,-0.006408357
87,1026,-0.006972931999999999
88,1024,-0.006947273
89,1022,-0.006537531
90,1020,-0.00572099
91,1018,-0.004167896
92,1016,-0.0017862870000000001
93,1014,0.001271697
94,1012,0.004587814
95,1010,0.007651329
96,1008,0.009882717
97,1006,0.01067619
98,1004,0.00985628
99,1002,0.00753135
100,1000,0.0040629329999999995
101,998,0.000282352
102,996,-0.002793298
103,994,-0.00422921
104,992,-0.003759754
105,990,-0.001696171
106,988,0.001307819
107,986,0.004205824
108,984,0.005979091
109,982,0.006204333
110,980,0.0049893509999999995
111,978,0.0027965620000000003
112,976,0.000137245
113,974,-0.0023824320000000003
114,972,-0.004373836
115,970,-0.005700655
116,968,-0.0062375040000000005
117,966,-0.005826171
118,964,-0.0046418729999999995
119,962,-0.002804047
120,960,-0.000580859
121,958,0.001731269
122,956,0.003698297
123,954,0.005096535
124,952,0.005913413
125,950,0.006146581
126,948,0.005766441
127,946,0.005023345
128,944,0.004059903
129,942,0.0030372940000000003
130,940,0.001990906
131,938,0.001098244
132,936,0.0005392309999999999
133,934,0.000368679
134,932,0.000529029
135,930,0.0009504380000000001
136,928,0.001277765
137,926,0.001108688
138,924,9.895700000000001e-05
139,922,-0.001672377
140,920,-0.003784928
141,918,-0.00556583
142,916,-0.0062595409999999995
143,914,-0.005389455
144,912,-0.0033267740000000002
145,910,-0.000746149
146,908,0.0015296329999999999
147,906,0.002977964
148,904,0.003443934
149,902,0.003156738
150,900,0.002615412
